,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
0,"['concept', 'history', 'malignant', 'neoplasm', 'of', 'pancreas', '.']",[ 1261   241 20245     1     9 21110     8],"['concept', 'history', 'malignant', 'neoplasm', 'of', 'pancreas', '.']",[ 1261   241 20245     1     9 21110     8],[],[],"[('concept', 'NN'), ('history', 'NN'), ('malignant', 'JJ'), ('neoplasm', 'NN'), ('of', 'IN'), ('pancreas', 'NNS'), ('.', '.')]","[19, 19, 13, 19, 40, 29, 24]"
1,"['status', 'post', 'aorta', 'chemotherapy', 'and', 'pancreaticoduodenectomy', 'on', 'date', 'fruit', '.']",[  914  1179 26911 24689    10     1    19   907  1686     8],"['status', 'post', 'aorta', 'chemotherapy', 'and', 'pancreaticoduodenectomy', 'on', 'date', 'fruit', '.']",[  914  1179 26911 24689    10     1    19   907  1686     8],[],[],"[('status', 'NN'), ('post', 'NN'), ('aorta', 'NN'), ('chemotherapy', 'NN'), ('and', 'CC'), ('pancreaticoduodenectomy', 'NN'), ('on', 'IN'), ('date', 'NN'), ('fruit', 'NN'), ('.', '.')]","[19, 19, 19, 19, 33, 19, 40, 19, 19, 24]"
2,"['chronic', 'low', 'back', 'pain', '.']",[6133  537  271 3950    8],"['chronic', 'low', 'back', 'pain', '.']",[6133  537  271 3950    8],[],[],"[('chronic', 'NN'), ('low', 'JJ'), ('back', 'RB'), ('pain', 'NN'), ('.', '.')]","[19, 13, 27, 19, 24]"
3,"['abdominal', 'pain', '.']",[10926  3950     8],"['abdominal', 'pain', '.']",[10926  3950     8],[],[],"[('abdominal', 'JJ'), ('pain', 'NN'), ('.', '.')]","[13, 19, 24]"
4,"['unspecified', 'follow-up', 'examination', '.']",[23615  8559  5544     8],"['unspecified', 'follow-up', 'examination', '.']",[23615  8559  5544     8],[],[],"[('unspecified', 'JJ'), ('follow-up', 'JJ'), ('examination', 'NN'), ('.', '.')]","[13, 13, 19, 24]"
5,"['comparison', 'is', 'make', '-', 'instruction', 'imperative', 'with', 'act', 'relationship', 'subset', '-', 'previous', 'x-ray', 'computed', 'tomography', 'date', 'of', 'report', 'and', 'date', 'fruit', '15', '/ml', 'of', 'multihance', 'was', 'having', 'administered', 'per', 'protocol', '.']","[ 3654    14   323    74  4875 28009    22   486  1065 11173    74   813
  5367 20229     1   907     9  1584    10   907  1686   378     1     9
     1    15   346  4765   693  4504     8]","['comparison', 'is', 'make', '-', 'instruction', 'imperative', 'with', 'act', 'relationship', 'subset', '-', 'previous', 'x-ray', 'computed', 'tomography', 'date', 'of', 'report', 'and', 'date', 'fruit', '15', '/ml', 'of', 'multihance', 'was', 'having', 'administered', 'per', 'protocol', '.']","[ 3654    14   323    74  4875 28009    22   486  1065 11173    74   813
  5367 20229     1   907     9  1584    10   907  1686   378     1     9
     1    15   346  4765   693  4504     8]",[],[],"[('comparison', 'NN'), ('is', 'VBZ'), ('make', 'JJ'), ('-', ':'), ('instruction', 'NN'), ('imperative', 'NN'), ('with', 'IN'), ('act', 'NN'), ('relationship', 'NN'), ('subset', 'VBN'), ('-', ':'), ('previous', 'JJ'), ('x-ray', 'JJ'), ('computed', 'VBN'), ('tomography', 'NN'), ('date', 'NN'), ('of', 'IN'), ('report', 'NN'), ('and', 'CC'), ('date', 'NN'), ('fruit', 'NN'), ('15', 'CD'), ('/ml', 'NN'), ('of', 'IN'), ('multihance', 'NN'), ('was', 'VBD'), ('having', 'VBG'), ('administered', 'VBN'), ('per', 'IN'), ('protocol', 'NN'), ('.', '.')]","[19, 15, 13, 28, 19, 19, 40, 19, 19, 8, 28, 13, 13, 8, 19, 19, 40, 19, 33, 19, 19, 37, 19, 40, 19, 6, 5, 8, 40, 19, 24]"
6,"['coronal', 't2-body', 'weight', 'axial', 'and', 't2', ';', 'axial', 't2', 'fat', 'sat', 'clear', ',', 't2', 'and', ',', 't2', 'gradient-echo', 'protocol', ',', 'and', 'in', 'phase', 'sequences', ';', 'dynamic', 'axial', 'cd5', 'gene', 'fat-sat', 'post', 'contrast', 'additional', 'subtraction', 'process', 'reconstructive', 'surgical', 'procedures', ';', 'coronal', 'singular', 'injection', 'of', 'therapeutic', 'agent', 'cholangiopancreatography,', 'magnetic', 'resonance', 'base', 'sequence', 'marked', 'hydronephrosis', 'and', 'dilatation', 'of', 'ureter', 'are', 'present', 'in', 'the', 'right', 'kidney', '.']","[    1     1  1244 15217    10     1    45 15217     1  3894  8502  1599
     7     1    10     7     1     1  4504     7    10    11  2251  4575
    45  5514 15217     1  1840     1  1179  1928  1240 17419   496     1
  9912  6203    45     1  6764 11194     9 14858  2194     1  1586 10018
   810  1949  1612     1    10     1     9     1    32   533    11     6
   525  7073     8]","['coronal', 't2-body', 'weight', 'axial', 'and', 't2', ';', 'axial', 't2', 'fat', 'sat', 'clear', ',', 't2', 'and', ',', 't2', 'gradient-echo', 'protocol', ',', 'and', 'in', 'phase', 'sequences', ';', 'dynamic', 'axial', 'cd5', 'gene', 'fat-sat', 'post', 'contrast', 'additional', 'subtraction', 'process', 'reconstructive', 'surgical', 'procedures', ';', 'coronal', 'singular', 'injection', 'of', 'therapeutic', 'agent', 'cholangiopancreatography,', 'magnetic', 'resonance', 'base', 'sequence', 'marked', 'hydronephrosis', 'and', 'dilatation', 'of', 'ureter', 'are', 'present', 'in', 'the', 'right', 'kidney', '.']","[    1     1  1244 15217    10     1    45 15217     1  3894  8502  1599
     7     1    10     7     1     1  4504     7    10    11  2251  4575
    45  5514 15217     1  1840     1  1179  1928  1240 17419   496     1
  9912  6203    45     1  6764 11194     9 14858  2194     1  1586 10018
   810  1949  1612     1    10     1     9     1    32   533    11     6
   525  7073     8]",[],[],"[('coronal', 'JJ'), ('t2-body', 'NN'), ('weight', 'NN'), ('axial', 'NN'), ('and', 'CC'), ('t2', 'NN'), (';', ':'), ('axial', 'JJ'), ('t2', 'NN'), ('fat', 'JJ'), ('sat', 'VBD'), ('clear', 'JJ'), (',', ','), ('t2', 'JJ'), ('and', 'CC'), (',', ','), ('t2', 'JJ'), ('gradient-echo', 'JJ'), ('protocol', 'NN'), (',', ','), ('and', 'CC'), ('in', 'IN'), ('phase', 'NN'), ('sequences', 'NNS'), (';', ':'), ('dynamic', 'JJ'), ('axial', 'JJ'), ('cd5', 'NN'), ('gene', 'NN'), ('fat-sat', 'JJ'), ('post', 'NN'), ('contrast', 'NN'), ('additional', 'JJ'), ('subtraction', 'NN'), ('process', 'NN'), ('reconstructive', 'JJ'), ('surgical', 'JJ'), ('procedures', 'NNS'), (';', ':'), ('coronal', 'JJ'), ('singular', 'JJ'), ('injection', 'NN'), ('of', 'IN'), ('therapeutic', 'JJ'), ('agent', 'NN'), ('cholangiopancreatography,', 'NN'), ('magnetic', 'JJ'), ('resonance', 'NN'), ('base', 'NN'), ('sequence', 'NN'), ('marked', 'VBN'), ('hydronephrosis', 'NN'), ('and', 'CC'), ('dilatation', 'NN'), ('of', 'IN'), ('ureter', 'NN'), ('are', 'VBP'), ('present', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('right', 'JJ'), ('kidney', 'NN'), ('.', '.')]","[13, 19, 19, 19, 33, 19, 28, 13, 19, 13, 6, 13, 9, 13, 33, 9, 13, 13, 19, 9, 33, 40, 19, 29, 28, 13, 13, 19, 19, 13, 19, 19, 13, 19, 19, 13, 13, 29, 28, 13, 13, 19, 40, 13, 19, 19, 13, 19, 19, 19, 8, 19, 33, 19, 40, 19, 11, 13, 40, 16, 13, 19, 24]"
7,"['ipss', 'risk', 'category', 'low', 'signal', 'intensitysignal', 'intensity', 'focal', 'in', 'the', 'proximal', 'structure', 'of', 'right', 'ureter', 'probable', 'diagnosis', 'representation', '(action)', 'flow', 'related', 'personal', 'status', 'artifact', 'lead', 'signal', 'by', 'ecg', 'finding', '.']","[    1  1869  1124   537  2619     1  3032  8674    11     6     1   641
     9   525     1 10435  7271  3966     1  1974   718  1007   914 13670
   531  2619    21     1  3018     8]","['ipss', 'risk', 'category', 'low', 'signal', 'intensitysignal', 'intensity', 'focal', 'in', 'the', 'proximal', 'structure', 'of', 'right', 'ureter', 'probable', 'diagnosis', 'representation', '(action)', 'flow', 'related', 'personal', 'status', 'artifact', 'lead', 'signal', 'by', 'ecg', 'finding', '.']","[    1  1869  1124   537  2619     1  3032  8674    11     6     1   641
     9   525     1 10435  7271  3966     1  1974   718  1007   914 13670
   531  2619    21     1  3018     8]",[],[],"[('ipss', 'NN'), ('risk', 'NN'), ('category', 'NN'), ('low', 'JJ'), ('signal', 'JJ'), ('intensitysignal', 'JJ'), ('intensity', 'NN'), ('focal', 'NN'), ('in', 'IN'), ('the', 'DT'), ('proximal', 'JJ'), ('structure', 'NN'), ('of', 'IN'), ('right', 'JJ'), ('ureter', 'NN'), ('probable', 'JJ'), ('diagnosis', 'NN'), ('representation', 'NN'), ('(action)', 'NNP'), ('flow', 'NN'), ('related', 'VBD'), ('personal', 'JJ'), ('status', 'NN'), ('artifact', 'JJ'), ('lead', 'JJ'), ('signal', 'NN'), ('by', 'IN'), ('ecg', 'JJ'), ('finding', 'NN'), ('.', '.')]","[19, 19, 19, 13, 13, 13, 19, 19, 40, 16, 13, 19, 40, 13, 19, 13, 19, 19, 30, 19, 6, 13, 19, 13, 13, 19, 40, 13, 19, 24]"
8,"['possible', 'septation', 'may', 'be', 'present', 'in', 'the', 'distal', '(qualifier', 'value)', 'structure', 'of', 'right', 'ureterright', 'ureter', '.']","[  736     1    67    36   533    11     6 29190     1     1   641     9
   525     1     1     8]","['possible', 'septation', 'may', 'be', 'present', 'in', 'the', 'distal', '(qualifier', 'value)', 'structure', 'of', 'right', 'ureterright', 'ureter', '.']","[  736     1    67    36   533    11     6 29190     1     1   641     9
   525     1     1     8]",[],[],"[('possible', 'JJ'), ('septation', 'NN'), ('may', 'MD'), ('be', 'VB'), ('present', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('distal', 'JJ'), ('(qualifier', 'NNP'), ('value)', 'NN'), ('structure', 'NN'), ('of', 'IN'), ('right', 'JJ'), ('ureterright', 'JJ'), ('ureter', 'NN'), ('.', '.')]","[13, 19, 42, 31, 13, 40, 16, 13, 30, 19, 19, 40, 13, 13, 19, 24]"
9,"['ct', 'scan', 'of', 'the', 'abdomen', 'and', 'pelvic', 'cavity', 'structure', 'with', 'and', 'without', 'contrast', 'is', 'recommendation', 'gdc', 'treatment', 'outcome', 'terminology', 'evaluation', 'for', 'possible', 'calculi', 'or', 'distal', '(qualifier', 'value)', 'obstructed', 'lesion', '.']","[22594 16701     9     6  6890    10 18197  7370   641    22    10   402
  1928    14 10687     1  2031 10168  8104 12154    20   736     1    34
 29190     1     1     1     1     8]","['ct', 'scan', 'of', 'the', 'abdomen', 'and', 'pelvic', 'cavity', 'structure', 'with', 'and', 'without', 'contrast', 'is', 'recommendation', 'gdc', 'treatment', 'outcome', 'terminology', 'evaluation', 'for', 'possible', 'calculi', 'or', 'distal', '(qualifier', 'value)', 'obstructed', 'lesion', '.']","[22594 16701     9     6  6890    10 18197  7370   641    22    10   402
  1928    14 10687     1  2031 10168  8104 12154    20   736     1    34
 29190     1     1     1     1     8]",[],[],"[('ct', 'JJ'), ('scan', 'NN'), ('of', 'IN'), ('the', 'DT'), ('abdomen', 'NNS'), ('and', 'CC'), ('pelvic', 'JJ'), ('cavity', 'NN'), ('structure', 'NN'), ('with', 'IN'), ('and', 'CC'), ('without', 'IN'), ('contrast', 'NN'), ('is', 'VBZ'), ('recommendation', 'JJ'), ('gdc', 'JJ'), ('treatment', 'NN'), ('outcome', 'NN'), ('terminology', 'NN'), ('evaluation', 'NN'), ('for', 'IN'), ('possible', 'JJ'), ('calculi', 'NN'), ('or', 'CC'), ('distal', 'JJ'), ('(qualifier', 'JJR'), ('value)', 'NN'), ('obstructed', 'VBN'), ('lesion', 'NN'), ('.', '.')]","[13, 19, 40, 16, 29, 33, 13, 19, 19, 40, 33, 40, 19, 15, 13, 13, 19, 19, 19, 19, 40, 13, 19, 33, 13, 46, 19, 8, 19, 24]"
