,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
0,"['1', '(finding)', 'of', 'the', 'reader', 'device', 'component', 'was', 'mohammed', 'baghdadi', ',', '32', ',', 'a', 'relationship', '-', 'manager', 'at', 'the', 'ministry', 'of', 'tnfrsf19', 'wt', 'allele', '.']","[  142     1     9     6  7272  1719  2527    15 17586     1     7  2858
     7    12  1065    74  1687    29     6  3048     9     1     1 10377
     8]","['mohammed', 'baghdadi', 'is', 'a', 'relationship', '-', 'manager', 'at', 'the', 'ministry', 'of', 'tnfrsf19', 'wt', 'allele', '.']","[17586     1    14    12  1065    74  1687    29     6  3048     9     1
     1 10377     8]","['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'is', 'DEL', 'DEL', 'DEL', 'STOP']",[ 3  3  3  3  3  3  3  3  2  2 14  3  3  3  5],"[('1', 'CD'), ('(finding)', 'NN'), ('of', 'IN'), ('the', 'DT'), ('reader', 'NN'), ('device', 'NN'), ('component', 'NN'), ('was', 'VBD'), ('mohammed', 'VBN'), ('baghdadi', 'NN'), (',', ','), ('32', 'CD'), (',', ','), ('a', 'DT'), ('relationship', 'NN'), ('-', ':'), ('manager', 'NN'), ('at', 'IN'), ('the', 'DT'), ('ministry', 'NN'), ('of', 'IN'), ('tnfrsf19', 'NN'), ('wt', 'NN'), ('allele', 'NN'), ('.', '.')]","[37, 19, 40, 16, 19, 19, 19, 6, 8, 19, 9, 37, 9, 16, 19, 28, 19, 40, 16, 19, 40, 19, 19, 19, 24]"
1,"['among', 'the', 'reader', 'device', 'component', 'on', 'hand', 'was', 'mohammed', 'baghdadi', ',', '32', ',', 'a', 'relationship', '-', 'manager', 'at', 'the', 'ministry', 'of', 'tnfrsf19', 'wt', 'allele', '.']","[  310     6  7272  1719  2527    19   846    15 17586     1     7  2858
     7    12  1065    74  1687    29     6  3048     9     1     1 10377
     8]","['mohammed', 'baghdadi', ',', '32', ',', 'is', 'a', 'relationship', '-', 'manager', 'at', 'the', 'ministry', 'of', 'tnfrsf19', 'wt', 'allele', '.']","[17586     1     7  2858     7    14    12  1065    74  1687    29     6
  3048     9     1     1 10377     8]","['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'is', 'STOP']",[ 3  3  3  3  3  3  3  3  2  2  2  2  2 14  5],"[('among', 'IN'), ('the', 'DT'), ('reader', 'NN'), ('device', 'NN'), ('component', 'NN'), ('on', 'IN'), ('hand', 'NN'), ('was', 'VBD'), ('mohammed', 'VBN'), ('baghdadi', 'NN'), (',', ','), ('32', 'CD'), (',', ','), ('a', 'DT'), ('relationship', 'NN'), ('-', ':'), ('manager', 'NN'), ('at', 'IN'), ('the', 'DT'), ('ministry', 'NN'), ('of', 'IN'), ('tnfrsf19', 'NN'), ('wt', 'NN'), ('allele', 'NN'), ('.', '.')]","[40, 16, 19, 19, 19, 40, 19, 6, 8, 19, 9, 37, 9, 16, 19, 28, 19, 40, 16, 19, 40, 19, 19, 19, 24]"
2,"['1', '(finding)', 'of', 'the', 'reader', 'device', 'component', 'was', 'mohammed', 'baghdadi', ',', '32', ',', 'who', 'work', 'for', 'the', 'department', 'of', 'tnfrsf19', 'wt', 'allele', '.']","[  142     1     9     6  7272  1719  2527    15 17586     1     7  2858
     7    56   140    20     6   977     9     1     1 10377     8]","['1', '(finding)', 'of', 'the', 'reader', 'device', 'component', 'was', 'mohammed', 'baghdadi', ',', '32', '.']","[  142     1     9     6  7272  1719  2527    15 17586     1     7  2858
     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 5],"[('1', 'CD'), ('(finding)', 'NN'), ('of', 'IN'), ('the', 'DT'), ('reader', 'NN'), ('device', 'NN'), ('component', 'NN'), ('was', 'VBD'), ('mohammed', 'VBN'), ('baghdadi', 'NN'), (',', ','), ('32', 'CD'), (',', ','), ('who', 'WP'), ('work', 'VBP'), ('for', 'IN'), ('the', 'DT'), ('department', 'NN'), ('of', 'IN'), ('tnfrsf19', 'NN'), ('wt', 'NN'), ('allele', 'NN'), ('.', '.')]","[37, 19, 40, 16, 19, 19, 19, 6, 8, 19, 9, 37, 9, 14, 11, 40, 16, 19, 40, 19, 19, 19, 24]"
3,"['they', 'are', 'fatigue', 'and', 'it', 'show', 'in', 'their', 'voice', ',', 'but', 'they', ""'re"", 'still', 'on', 'the', 'freedom', 'highway', 'environment', '.']","[   54    32 18855    10    31   229    11    49  1303     7    51    54
  4685   250    19     6  1998  2293  1489     8]","['they', 'are', 'fatigue', 'and', 'it', 'show', 'in', 'their', 'voice', '.']",[   54    32 18855    10    31   229    11    49  1303     8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 5],"[('they', 'PRP'), ('are', 'VBP'), ('fatigue', 'JJ'), ('and', 'CC'), ('it', 'PRP'), ('show', 'VBP'), ('in', 'IN'), ('their', 'PRP$'), ('voice', 'NN'), (',', ','), ('but', 'CC'), ('they', 'PRP'), (""'re"", 'VBP'), ('still', 'RB'), ('on', 'IN'), ('the', 'DT'), ('freedom', 'NN'), ('highway', 'NN'), ('environment', 'NN'), ('.', '.')]","[38, 11, 13, 33, 38, 11, 40, 4, 19, 9, 33, 38, 11, 27, 40, 16, 19, 19, 19, 24]"
4,"['piechocki', 'is', 'responsible', 'to', 'for', 'integrating', ',', 'testing', 'and', 'executing', '-', 'querystatuscode', 'all', 'of', 'the', 'engineering', 'content', 'type', 'requirement', 'for', 'ford', ""'s"", 'full-size', 'liposome', 'vesicle', ',', 'ford', 'expeditions', 'and', 'lincoln', 'navigator', '.']","[    1    14  1339    13    20 19429     7  3316    10 14633    74     1
    66     9     6  1297  1471   485  6659    20  1815    23 20772     1
     1     7  1815  9274    10  2043 16013     8]","['piechocki', 'is', 'responsible', 'to', 'for', 'combine', ',', 'testing', 'and', 'executing', '-', 'querystatuscode', 'all', 'of', 'the', 'new', 'rule', '(guideline)', '.']","[    1    14  1339    13    20  5970     7  3316    10 14633    74     1
    66     9     6    57  1004     1     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'combine', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'new', 'rule', '(guideline)', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   2    2    2    2    2 5970    3    2    2    2    2    2    2    2
    2    2   57 1004    1    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    5]","[('piechocki', 'NN'), ('is', 'VBZ'), ('responsible', 'JJ'), ('to', 'TO'), ('for', 'IN'), ('integrating', 'VBG'), (',', ','), ('testing', 'VBG'), ('and', 'CC'), ('executing', 'VBG'), ('-', ':'), ('querystatuscode', 'NN'), ('all', 'DT'), ('of', 'IN'), ('the', 'DT'), ('engineering', 'NN'), ('content', 'NN'), ('type', 'NN'), ('requirement', 'NN'), ('for', 'IN'), ('ford', 'NN'), (""'s"", 'POS'), ('full-size', 'JJ'), ('liposome', 'JJ'), ('vesicle', 'NN'), (',', ','), ('ford', 'JJ'), ('expeditions', 'NNS'), ('and', 'CC'), ('lincoln', 'NN'), ('navigator', 'NN'), ('.', '.')]","[19, 15, 13, 25, 40, 5, 9, 5, 33, 5, 28, 19, 16, 40, 16, 19, 19, 19, 19, 40, 19, 23, 13, 13, 19, 9, 13, 29, 33, 19, 19, 24]"
5,"['gary', 'goddard', ',', 'equine', 'laminitis', 'of', 'gary', 'goddard', 'entertainment', ',', 'a', 'company', '(organization)', 'that', 'cdisc', 'send', 'study', 'design', 'terminology', 'theme', 'park', '(environment)', ',', 'attractive', 'and', 'upscale', 'resorts', ',', 'estimated', 'that', 'about', 'half', 'akr1b10', 'gene', 'work', 'in', 'the', 'last', 'few', 'year', 'has', 'been', 'in', 'asia', 'and', 'the', 'middle', 'east', '.']","[ 5687 18052     7     1     1     9  5687 18052  1254     7    12   300
     1    24     1  4064   474   630  8104  1757   345     1     7  7481
    10 27070  9735     7  1056    24    90   669     1  1840   140    11
     6   232   344   110    43    59    11   868    10     6   598   201
     8]","['gari', '(substance)', 'goddard', 'is', 'a', 'company', '(organization)', 'that', 'sell', 'protein,', 'human', 'theme', 'park', '(environment)', ',', 'hotel', 'and', 'upscale', '.']","[    1     1 18052    14    12   300     1    24  3613     1   385  1757
   345     1     7  1852    10 27070     8]","['gari', '(substance)', 'DEL', 'KEEP', 'is', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'sell', 'protein,', 'human', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'hotel', 'DEL', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   1    1    3    2   14    3    3    3    3    3    3    3    3    2
    2    2    2 3613    1  385    3    3    3    3    3    2    2    2
    2 1852    3    2    2    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    5]","[('gary', 'JJ'), ('goddard', 'NN'), (',', ','), ('equine', 'JJ'), ('laminitis', 'NN'), ('of', 'IN'), ('gary', 'JJ'), ('goddard', 'NN'), ('entertainment', 'NN'), (',', ','), ('a', 'DT'), ('company', 'NN'), ('(organization)', 'VBZ'), ('that', 'IN'), ('cdisc', 'NN'), ('send', 'NN'), ('study', 'NN'), ('design', 'NN'), ('terminology', 'NN'), ('theme', 'NN'), ('park', 'NN'), ('(environment)', 'NNP'), (',', ','), ('attractive', 'JJ'), ('and', 'CC'), ('upscale', 'JJ'), ('resorts', 'NNS'), (',', ','), ('estimated', 'VBD'), ('that', 'IN'), ('about', 'IN'), ('half', 'DT'), ('akr1b10', 'JJ'), ('gene', 'NN'), ('work', 'NN'), ('in', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('few', 'JJ'), ('year', 'NN'), ('has', 'VBZ'), ('been', 'VBN'), ('in', 'IN'), ('asia', 'NN'), ('and', 'CC'), ('the', 'DT'), ('middle', 'JJ'), ('east', 'NN'), ('.', '.')]","[13, 19, 9, 13, 19, 40, 13, 19, 19, 9, 16, 19, 15, 40, 19, 19, 19, 19, 19, 19, 19, 30, 9, 13, 33, 13, 29, 9, 6, 40, 40, 16, 13, 19, 19, 40, 16, 13, 13, 19, 15, 8, 40, 19, 33, 16, 13, 19, 24]"
6,"['gary', 'goddard', 'is', 'the', 'equine', 'laminitis', 'of', 'gary', 'goddard', 'entertainment', '.']",[ 5687 18052    14     6     1     1     9  5687 18052  1254     8],"['gary', 'goddard', 'is', 'the', 'equine', 'laminitis', 'of', 'gary', 'entertainment', '.']",[ 5687 18052    14     6     1     1     9  5687  1254     8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 3 5],"[('gary', 'JJ'), ('goddard', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('equine', 'JJ'), ('laminitis', 'NN'), ('of', 'IN'), ('gary', 'JJ'), ('goddard', 'NN'), ('entertainment', 'NN'), ('.', '.')]","[13, 19, 15, 16, 13, 19, 40, 13, 19, 19, 24]"
7,"['gary', 'goddard', 'is', 'the', 'equine', 'laminitis', 'of', 'gary', 'goddard', 'entertainment', ',', 'which', 'cdisc', 'send', 'study', 'design', 'terminology', 'theme', 'park', '(environment)', ',', 'attractive', 'and', 'upscale', 'resorts', '.']","[ 5687 18052    14     6     1     1     9  5687 18052  1254     7    35
     1  4064   474   630  8104  1757   345     1     7  7481    10 27070
  9735     8]","['gary', 'goddard', 'is', 'the', 'equine', 'laminitis', 'of', 'gary', 'goddard', 'entertainment', '.']",[ 5687 18052    14     6     1     1     9  5687 18052  1254     8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5],"[('gary', 'JJ'), ('goddard', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('equine', 'JJ'), ('laminitis', 'NN'), ('of', 'IN'), ('gary', 'JJ'), ('goddard', 'NN'), ('entertainment', 'NN'), (',', ','), ('which', 'WDT'), ('cdisc', 'VBP'), ('send', 'VBP'), ('study', 'NN'), ('design', 'NN'), ('terminology', 'NN'), ('theme', 'NN'), ('park', 'NN'), ('(environment)', 'NNP'), (',', ','), ('attractive', 'JJ'), ('and', 'CC'), ('upscale', 'JJ'), ('resorts', 'NNS'), ('.', '.')]","[13, 19, 15, 16, 13, 19, 40, 13, 19, 19, 9, 12, 11, 11, 19, 19, 19, 19, 19, 30, 9, 13, 33, 13, 29, 24]"
8,"['their', 'fatigue', 'change', '--', 'procedure', 'their', 'voice', ',', 'but', 'they', ""'re"", 'still', 'on', 'the', 'freedom', 'highway', 'environment', '.']","[   49 18855   623  8455  5154    49  1303     7    51    54  4685   250
    19     6  1998  2293  1489     8]","['their', 'problems', 'make', '-', 'instruction', 'imperative', 'their', 'problems', 'and', 'fatigue', 'change', '--', 'procedure', 'their', 'voice', '.']","[   49  1338   323    74  4875 28009    49  1338    10 18855   623  8455
  5154    49  1303     8]","['their', 'problems', 'make', '-', 'instruction', 'imperative', 'KEEP', 'problems', 'and', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   49  1338   323    74  4875 28009     2  1338    10     2     2     2
     2     2     2     3     3     3     3     3     3     3     3     3
     3     5]","[('their', 'PRP$'), ('fatigue', 'NN'), ('change', 'NN'), ('--', ':'), ('procedure', 'VBP'), ('their', 'PRP$'), ('voice', 'NN'), (',', ','), ('but', 'CC'), ('they', 'PRP'), (""'re"", 'VBP'), ('still', 'RB'), ('on', 'IN'), ('the', 'DT'), ('freedom', 'NN'), ('highway', 'NN'), ('environment', 'NN'), ('.', '.')]","[4, 19, 19, 28, 11, 4, 19, 9, 33, 38, 11, 27, 40, 16, 19, 19, 19, 24]"
9,"['fatigue', 'frays', 'their', 'voice', ',', 'but', 'they', ""'re"", 'still', 'on', 'the', 'freedom', 'highway', 'environment', '.']","[18855     1    49  1303     7    51    54  4685   250    19     6  1998
  2293  1489     8]","['but', 'they', ""'re"", 'still', 'on', 'the', 'freedom', 'highway', 'environment', '.']",[  51   54 4685  250   19    6 1998 2293 1489    8],"['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[3 3 3 3 3 5],"[('fatigue', 'NN'), ('frays', 'NNS'), ('their', 'PRP$'), ('voice', 'NN'), (',', ','), ('but', 'CC'), ('they', 'PRP'), (""'re"", 'VBP'), ('still', 'RB'), ('on', 'IN'), ('the', 'DT'), ('freedom', 'NN'), ('highway', 'NN'), ('environment', 'NN'), ('.', '.')]","[19, 29, 4, 19, 9, 33, 38, 11, 27, 40, 16, 19, 19, 19, 24]"
