,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
0,"['adjacent', 'county', 'are', 'marin', '-lrb-', 'to', 'the', 'south', '-rrb-', ',', 'mendocino', '-lrb-', 'to', 'the', 'north', '-rrb-', ',', 'lake', '(environment)', '-lrb-', 'northeast', '-rrb-', ',', 'napa', 'gene', '-lrb-', 'to', 'the', 'east', '-rrb-', ',', 'and', 'solano', 'and', 'contra', 'bone', 'structure', 'of', 'rib', '-lrb-', 'to', 'the', 'southeast', '-rrb-', '.']","[ 3600   223    32 17016     1    13     6   111     1     7 29308     1
    13     6   121     1     7   717     1     1  1919     1     7     1
  1840     1    13     6   201     1     7    10     1    10 27924  3229
   641     9 19415     1    13     6  1506     1     8]","['neighbhouring', 'country', 'are', 'marin', ',', 'to', 'the', 'south', ',', 'mendocino', ',', 'to', 'the', 'north', ',', 'lake', '(environment)', 'northeast', ',', 'napa', 'gene', 'to', 'the', 'east', 'and', 'solano', 'and', 'contra', 'bone', 'structure', 'of', 'rib', 'to', 'the', 'southeast', '.']","[    1   261    32 17016     7    13     6   111     7 29308     7    13
     6   121     7   717     1  1919     7     1  1840    13     6   201
    10     1    10 27924  3229   641     9 19415    13     6  1506     8]","['neighbhouring', 'country', 'DEL', 'DEL', 'KEEP', 'KEEP', ',', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', ',', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']","[  1 261   3   3   2   2   7   3   2   2   2   3   2   2   7   3   2   2
   2   3   2   2   2   3   2   3   2   2   2   3   2   2   2   3   3   2
   2   2   2   2   2   2   2   3   2   2   2   3   5]","[('adjacent', 'JJ'), ('county', 'NN'), ('are', 'VBP'), ('marin', 'JJ'), ('-lrb-', 'NNP'), ('to', 'TO'), ('the', 'DT'), ('south', 'JJ'), ('-rrb-', 'NN'), (',', ','), ('mendocino', 'NN'), ('-lrb-', 'NN'), ('to', 'TO'), ('the', 'DT'), ('north', 'JJ'), ('-rrb-', 'NN'), (',', ','), ('lake', 'VBP'), ('(environment)', 'JJ'), ('-lrb-', 'NNP'), ('northeast', 'NN'), ('-rrb-', 'NN'), (',', ','), ('napa', 'JJ'), ('gene', 'NN'), ('-lrb-', 'NN'), ('to', 'TO'), ('the', 'DT'), ('east', 'JJ'), ('-rrb-', 'NN'), (',', ','), ('and', 'CC'), ('solano', 'NN'), ('and', 'CC'), ('contra', 'JJ'), ('bone', 'NN'), ('structure', 'NN'), ('of', 'IN'), ('rib', 'NN'), ('-lrb-', 'NN'), ('to', 'TO'), ('the', 'DT'), ('southeast', 'NN'), ('-rrb-', 'NN'), ('.', '.')]","[13, 19, 11, 13, 30, 25, 16, 13, 19, 9, 19, 19, 25, 16, 13, 19, 9, 11, 13, 30, 19, 19, 9, 13, 19, 19, 25, 16, 13, 19, 9, 33, 19, 33, 13, 19, 19, 40, 19, 19, 25, 16, 19, 19, 24]"
1,"['a', 'georgian', 'language', 'inscription', 'around', 'the', 'drum', 'dosing', 'unit', 'attests', 'his', 'name', '.']","[   12  7723   283 10074   169     6  4540     1   955     1    28   106
     8]","['a', 'georgian', 'language', 'term', '(lexical)', 'around', 'the', 'drum', 'dosing', 'unit', 'serves', 'as', 'clear', 'evidence', 'of.', 'his', 'name', '.']","[  12 7723  283  258    1  169    6 4540    1  955 2263   18 1599  898
    1   28  106    8]","['KEEP', 'KEEP', 'KEEP', 'term', '(lexical)', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'serves', 'as', 'clear', 'evidence', 'of.', 'DEL', 'STOP']","[   2    2    2  258    1    3    2    2    2    2    2 2263   18 1599
  898    1    3    5]","[('a', 'DT'), ('georgian', 'JJ'), ('language', 'NN'), ('inscription', 'NN'), ('around', 'IN'), ('the', 'DT'), ('drum', 'NN'), ('dosing', 'VBG'), ('unit', 'NN'), ('attests', 'VBZ'), ('his', 'PRP$'), ('name', 'NN'), ('.', '.')]","[16, 13, 19, 19, 40, 16, 19, 5, 19, 15, 4, 19, 24]"
2,"['they', 'would', 'late', 'return', 'to', '(contextual', 'qualifier)', '(qualifier', 'value)', 'to', 'the', 'revived', 'series', 'in', 'the', '2008', 'christmas', 'special', '""', 'the', 'adjacent', 'doctor', '-', 'title', '""', ',', 'introduces', 'two', 'new', 'variant', 'of', 'the', 'amacr', 'wt', 'allele', ';', 'the', 'cyber-shade', 'and', 'the', 'cyber-king', '.']","[   54    97   296   689    13     1     1     1     1    13     6  6613
   120    11     6   312  1965   552     1     6  3600  1135    74   342
     1     7  8280    55    57  4209     9     6     1     1 10377    45
     6     1    10     6     1     8]","['they', 'would', 'return', 'to', '(contextual', 'qualifier)', '(qualifier', 'value)', 'to', 'the', 'series', 'in', 'the', '2008', 'christmas', 'special', '""', 'the', 'adjacent', 'doctor', '-', 'title', '""', ',', 'introduces', 'two', 'new', 'variant', 'of', 'the', 'amacr', 'wt', 'allele', '.']","[   54    97   689    13     1     1     1     1    13     6   120    11
     6   312  1965   552     1     6  3600  1135    74   342     1     7
  8280    55    57  4209     9     6     1     1 10377     8]","['KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3
 3 3 3 3 5]","[('they', 'PRP'), ('would', 'MD'), ('late', 'VB'), ('return', 'NN'), ('to', 'TO'), ('(contextual', 'JJ'), ('qualifier)', 'NN'), ('(qualifier', 'NNP'), ('value)', 'NN'), ('to', 'TO'), ('the', 'DT'), ('revived', 'VBN'), ('series', 'NN'), ('in', 'IN'), ('the', 'DT'), ('2008', 'CD'), ('christmas', 'NN'), ('special', 'JJ'), ('""', 'VBZ'), ('the', 'DT'), ('adjacent', 'JJ'), ('doctor', 'NN'), ('-', ':'), ('title', 'NN'), ('""', 'NN'), (',', ','), ('introduces', 'NNS'), ('two', 'CD'), ('new', 'JJ'), ('variant', 'NN'), ('of', 'IN'), ('the', 'DT'), ('amacr', 'NN'), ('wt', 'NN'), ('allele', 'NN'), (';', ':'), ('the', 'DT'), ('cyber-shade', 'NN'), ('and', 'CC'), ('the', 'DT'), ('cyber-king', 'NN'), ('.', '.')]","[38, 42, 31, 19, 25, 13, 19, 30, 19, 25, 16, 8, 19, 40, 16, 37, 19, 13, 15, 16, 13, 19, 28, 19, 19, 9, 29, 37, 13, 19, 40, 16, 19, 19, 19, 28, 16, 19, 33, 16, 19, 24]"
3,"['jameson', ""'s"", 'autobiography', ',', 'how', 'gdc', 'treatment', 'outcome', 'terminology', 'make', '-', 'instruction', 'imperative', 'love', 'like', 'a', 'porn', 'gucy2c', 'protein,', 'human', ':', 'a', 'cautionary', 'tale', 'was', 'publishing', 'august', '17', ',', '2004', '.']","[    1    23  6570     7   599     1  2031 10168  8104   323    74  4875
 28009   547   195    12 19617     1     1   385    38    12     1  3836
    15  3257   186   536     7   510     8]","['jameson', ""'s"", 'autobiography', ',', 'how', 'gdc', 'treatment', 'outcome', 'terminology', 'make', '-', 'instruction', 'imperative', 'love', 'like', 'a', 'porn', 'gucy2c', 'protein,', 'human', ':', 'a', 'cautionary', 'tale', ',', 'was', 'publishing', 'august', '17', ',', '2004', '.']","[    1    23  6570     7   599     1  2031 10168  8104   323    74  4875
 28009   547   195    12 19617     1     1   385    38    12     1  3836
     7    15  3257   186   536     7   510     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', ',', 'STOP']",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 7 5],"[('jameson', 'NN'), (""'s"", 'POS'), ('autobiography', 'NN'), (',', ','), ('how', 'WRB'), ('gdc', 'JJ'), ('treatment', 'NN'), ('outcome', 'NN'), ('terminology', 'NN'), ('make', 'VBP'), ('-', ':'), ('instruction', 'NN'), ('imperative', 'JJ'), ('love', 'NN'), ('like', 'IN'), ('a', 'DT'), ('porn', 'JJ'), ('gucy2c', 'NN'), ('protein,', 'NN'), ('human', 'NN'), (':', ':'), ('a', 'DT'), ('cautionary', 'JJ'), ('tale', 'NN'), ('was', 'VBD'), ('publishing', 'VBG'), ('august', 'RB'), ('17', 'CD'), (',', ','), ('2004', 'CD'), ('.', '.')]","[19, 23, 19, 9, 32, 13, 19, 19, 19, 11, 28, 19, 13, 19, 40, 16, 13, 19, 19, 19, 28, 16, 13, 19, 6, 5, 27, 37, 9, 37, 24]"
4,"['it', 'is', 'particularly', 'fame', 'for', 'the', 'cultivation', 'of', 'actinidia', 'deliciosa', '.']",[  31   14  701 1367   20    6 8285    9    1    1    8],"['this', 'area', 'is', 'known', 'for', 'growing', 'actinidia', 'deliciosa']",[  41  135   14   64   20 1574    1    1],"['this', 'area', 'DEL', 'KEEP', 'known', 'DEL', 'DEL', 'KEEP', 'growing', 'DEL', 'DEL', 'DEL', 'STOP', 'DEL']",[  41  135    3    2   64    3    3    2 1574    3    3    3    5    3],"[('it', 'PRP'), ('is', 'VBZ'), ('particularly', 'RB'), ('fame', 'NN'), ('for', 'IN'), ('the', 'DT'), ('cultivation', 'NN'), ('of', 'IN'), ('actinidia', 'JJ'), ('deliciosa', 'NN'), ('.', '.')]","[38, 15, 27, 19, 40, 16, 19, 40, 13, 19, 24]"
5,"['singular', 'competition', '-lrb-', '2002', '–', '2003', '-rrb-', 'after', 'year', 'in', 'the', 'linc01194', 'gene', 'team', 'administrative', 'division', ',', 'hardy', 'take', 'on', 'the', 'undertaker', 'cd44', 'wt', 'allele', 'a', 'ladder', 'matching', 'for', 'the', 'undisputed', 'championship', '.']","[ 6764  1023     1   682     1   569     1    50   110    11     6     1
  1840   164  1598   373     7  4622   442    19     6  5919     1     1
 10377    12  6087 10361    20     6  9872   386     8]","['hardy', ',', 'after', 'year', 'in', 'the', 'linc01194', 'gene', 'team', 'administrative', 'division', 'take', 'on', 'the', 'undertaker', 'cd44', 'wt', 'allele', 'a', 'ladder', 'matching', 'for', 'the', 'championship', '.']","[ 4622     7    50   110    11     6     1  1840   164  1598   373   442
    19     6  5919     1     1 10377    12  6087 10361    20     6   386
     8]","['hardy', ',', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']","[4622    7    3    3    3    3    3    3    3    2    2    2    2    2
    2    2    2    2    3    3    2    2    2    2    2    2    2    2
    2    2    2    2    3    5]","[('singular', 'JJ'), ('competition', 'NN'), ('-lrb-', 'NN'), ('2002', 'CD'), ('–', 'NN'), ('2003', 'CD'), ('-rrb-', 'NN'), ('after', 'IN'), ('year', 'NN'), ('in', 'IN'), ('the', 'DT'), ('linc01194', 'NN'), ('gene', 'NN'), ('team', 'NN'), ('administrative', 'JJ'), ('division', 'NN'), (',', ','), ('hardy', 'JJ'), ('take', 'NN'), ('on', 'IN'), ('the', 'DT'), ('undertaker', 'NN'), ('cd44', 'NN'), ('wt', 'NN'), ('allele', 'VBZ'), ('a', 'DT'), ('ladder', 'NN'), ('matching', 'VBG'), ('for', 'IN'), ('the', 'DT'), ('undisputed', 'JJ'), ('championship', 'NN'), ('.', '.')]","[13, 19, 19, 37, 19, 37, 19, 40, 19, 40, 16, 19, 19, 19, 13, 19, 9, 13, 19, 40, 16, 19, 19, 19, 15, 16, 19, 5, 40, 16, 13, 19, 24]"
6,"['numerous', 'of', 'the', 'churches', 'work', 'together', 'for', 'towns-widening', 'project', 'inferior', 'the', 'banner', 'of', '""', 'churches', 'together', 'in', 'stevenage', '""', '.']","[  861     9     6  2066   140   437    20     1   855  7869     6  7512
     9     1  2066   437    11 26530     1     8]","['numerous', 'of', 'the', 'churches', 'work', 'together', 'for', 'cities-widening', 'project', 'inferior', 'the', 'banner', 'of', '""', 'churches', 'together', 'in', 'stevenage', '""']","[  861     9     6  2066   140   437    20     1   855  7869     6  7512
     9     1  2066   437    11 26530     1]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'cities-widening', 'DEL', 'STOP', 'DEL']",[2 2 2 2 2 2 2 1 3 5 3],"[('numerous', 'JJ'), ('of', 'IN'), ('the', 'DT'), ('churches', 'NNS'), ('work', 'VBP'), ('together', 'RB'), ('for', 'IN'), ('towns-widening', 'NN'), ('project', 'NN'), ('inferior', 'VBZ'), ('the', 'DT'), ('banner', 'NN'), ('of', 'IN'), ('""', 'JJ'), ('churches', 'NNS'), ('together', 'RB'), ('in', 'IN'), ('stevenage', 'NN'), ('""', 'NN'), ('.', '.')]","[13, 40, 16, 29, 11, 27, 40, 19, 19, 15, 16, 19, 40, 13, 29, 27, 40, 19, 19, 24]"
7,"['word', 'processing', 'clinical', 'use', 'template', 'empowered', 'the', 'ability', 'to', 'bypass', 'the', 'firstly', 'preparation', 'and', 'computer', 'configuration', 'time', 'necessary', 'to', 'create', 'data', 'operation', 'standardized', 'act', 'relationship', 'type', '-', 'documents', 'such', 'as', 'a', 'curriculum', 'vitae', '.']","[  434  3368  6272   112  5195     1     6  1250    13 10229     6 18380
  3692    10   811  5458    71  2128    13  1164   926  1267  8656   486
  1065   485    74  3573    69    18    12  8604     1     8]","['word', 'processing', 'clinical', 'use', 'template', 'empowered', 'the', 'ability', 'to', 'bypass', 'the', 'firstly', 'preparation', 'and', 'computer', 'configuration', 'time', 'necessary', 'to', 'create', 'data', 'operation', 'standardized', 'act', 'relationship', 'type', '-', 'documents', 'such', 'as', 'a', 'curriculum', 'vitae', '.']","[  434  3368  6272   112  5195     1     6  1250    13 10229     6 18380
  3692    10   811  5458    71  2128    13  1164   926  1267  8656   486
  1065   485    74  3573    69    18    12  8604     1     8]",[],[],"[('word', 'NN'), ('processing', 'NN'), ('clinical', 'JJ'), ('use', 'NN'), ('template', 'NN'), ('empowered', 'VBD'), ('the', 'DT'), ('ability', 'NN'), ('to', 'TO'), ('bypass', 'VB'), ('the', 'DT'), ('firstly', 'JJ'), ('preparation', 'NN'), ('and', 'CC'), ('computer', 'NN'), ('configuration', 'NN'), ('time', 'NN'), ('necessary', 'JJ'), ('to', 'TO'), ('create', 'VB'), ('data', 'NNS'), ('operation', 'NN'), ('standardized', 'VBN'), ('act', 'NN'), ('relationship', 'NN'), ('type', 'JJ'), ('-', ':'), ('documents', 'NNS'), ('such', 'JJ'), ('as', 'IN'), ('a', 'DT'), ('curriculum', 'NN'), ('vitae', 'NN'), ('.', '.')]","[19, 19, 13, 19, 19, 6, 16, 19, 25, 31, 16, 13, 19, 33, 19, 19, 19, 13, 25, 31, 29, 19, 8, 19, 19, 13, 28, 29, 13, 40, 16, 19, 19, 24]"
8,"['rollins', 'retirement', 'in', '1962', 'and', 'suco', 'gene', 'gdc', 'treatment', 'outcome', 'terminology', 'become', 'a', 'coach', '(occupation)', '.']","[    1  3222    11  2102    10     1  1840     1  2031 10168  8104   279
    12  2049     1     8]","['rollins', 'retirement', 'in', '1962', 'and', 'decided', 'gdc', 'treatment', 'outcome', 'terminology', 'become', 'a', 'coach', '(occupation)', '.']","[    1  3222    11  2102    10   966     1  2031 10168  8104   279    12
  2049     1     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'decided', 'DEL', 'DEL', 'STOP']",[  2   2   2   2   2 966   3   3   5],"[('rollins', 'NNS'), ('retirement', 'NN'), ('in', 'IN'), ('1962', 'CD'), ('and', 'CC'), ('suco', 'JJ'), ('gene', 'NN'), ('gdc', 'JJ'), ('treatment', 'NN'), ('outcome', 'NN'), ('terminology', 'NN'), ('become', 'VB'), ('a', 'DT'), ('coach', 'NN'), ('(occupation)', 'NN'), ('.', '.')]","[29, 19, 40, 37, 33, 13, 19, 13, 19, 19, 19, 31, 16, 19, 19, 24]"
9,"['concept', 'history', 'landsberg', 'correctional', 'institutions', ',', 'which', 'immunogenicity', 'specimen', 'assessments', 'domain', 'in', 'the', 'towns', ""'s"", 'west', '(direction)', 'outskirts', ',', 'was', 'complete', 'in', '1910', '.']","[ 1261   241     1 21865  2641     7    35     1  5140 25905  3887    11
     6  1496    23   173     1  9880     7    15   950    11  3101     8]","['the', 'construction', 'worker', 'of', 'concept', 'history', 'landsberg', 'correctional', 'institutions', 'located', 'in', 'the', 'west', '(direction)', 'outskirts', 'of', 'the', 'towns', 'was', 'during', 'in', '1910', '.']","[    6   816  5870     9  1261   241     1 21865  2641   227    11     6
   173     1  9880     9     6  1496    15    73    11  3101     8]","['the', 'construction', 'worker', 'of', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'located', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'of', 'the', 'towns', 'DEL', 'KEEP', 'during', 'DEL', 'STOP']","[   6  816 5870    9    2    2    2    2    2  227    3    3    3    3
    3    3    2    2    3    3    2    2    2    9    6 1496    3    2
   73    3    5]","[('concept', 'JJ'), ('history', 'NN'), ('landsberg', 'JJ'), ('correctional', 'JJ'), ('institutions', 'NNS'), (',', ','), ('which', 'WDT'), ('immunogenicity', 'NN'), ('specimen', 'NNS'), ('assessments', 'NNS'), ('domain', 'VBP'), ('in', 'IN'), ('the', 'DT'), ('towns', 'NN'), (""'s"", 'POS'), ('west', 'JJS'), ('(direction)', 'NN'), ('outskirts', 'NNS'), (',', ','), ('was', 'VBD'), ('complete', 'JJ'), ('in', 'IN'), ('1910', 'CD'), ('.', '.')]","[13, 19, 13, 13, 29, 9, 12, 19, 29, 29, 11, 40, 16, 19, 23, 45, 19, 29, 9, 6, 13, 40, 37, 24]"
