,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
0,"['genetic', 'engineering', 'has', 'expanding', 'the', 'genes', 'availability', 'of', 'to', 'animal', 'for', 'breeding', 'gdc', 'treatment', 'outcome', 'terminology', 'utilize', 'in', 'create', 'data', 'operation', 'desire', 'germline', 'for', 'new', 'agricultural', 'crops', '.']","[ 1692  1297    43  4883     6  3371 10048     9    13   940    20  2886
     1  2031 10168  8104 11987    11  1164   926  1267  4036     1    20
    57  3247  4379     8]","['genetic', 'engineering', 'has', 'expanding', 'the', 'genes', 'availability', 'of', 'to', 'animal', 'for', 'breeding', 'gdc', 'treatment', 'outcome', 'terminology', 'make', '-', 'instruction', 'imperative', 'create', 'data', 'operation', 'germline', 'for', 'new', 'agricultural', 'crops', '.']","[ 1692  1297    43  4883     6  3371 10048     9    13   940    20  2886
     1  2031 10168  8104   323    74  4875 28009  1164   926  1267     1
    20    57  3247  4379     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'make', '-', 'instruction', 'imperative', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']","[    2     2     2     2     2     2     2     2     2     2     2     2
     2     2     2     2   323    74  4875 28009     3     3     2     2
     2     3     5]","[('genetic', 'JJ'), ('engineering', 'NN'), ('has', 'VBZ'), ('expanding', 'VBG'), ('the', 'DT'), ('genes', 'NNS'), ('availability', 'NN'), ('of', 'IN'), ('to', 'TO'), ('animal', 'VB'), ('for', 'IN'), ('breeding', 'VBG'), ('gdc', 'JJ'), ('treatment', 'NN'), ('outcome', 'NN'), ('terminology', 'NN'), ('utilize', 'VB'), ('in', 'IN'), ('create', 'NN'), ('data', 'NNS'), ('operation', 'NN'), ('desire', 'NN'), ('germline', 'NN'), ('for', 'IN'), ('new', 'JJ'), ('agricultural', 'JJ'), ('crops', 'NNS'), ('.', '.')]","[13, 19, 15, 5, 16, 29, 19, 40, 25, 31, 40, 5, 13, 19, 19, 19, 31, 40, 19, 29, 19, 19, 19, 40, 13, 13, 29, 24]"
1,"['the', 'name', 'jadgal', 'apply', 'specifically', 'to', 'group', 'object', 'that', 'still', 'does', 'speak', 'the', 'jadgali', 'languages', ',', 'cd44', 'wt', 'allele', 'the', 'makran', 'geographic', 'locations', 'of', 'iran', 'and', 'pakistan', '.']","[    6   106     1  3914  1833    13   149  1206    24   250   412  2812
     6     1   597     7     1     1 10377     6     1  4578  2524     9
  2379    10  1073     8]","['the', 'name', 'jadgal', 'apply', 'specifically', 'to', 'group', 'object', 'that', 'still', 'does', 'speak', 'the', 'jadgali', 'languages', '.']","[   6  106    1 3914 1833   13  149 1206   24  250  412 2812    6    1
  597    8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 5],"[('the', 'DT'), ('name', 'NN'), ('jadgal', 'JJ'), ('apply', 'RB'), ('specifically', 'RB'), ('to', 'TO'), ('group', 'NN'), ('object', 'NN'), ('that', 'WDT'), ('still', 'RB'), ('does', 'VBZ'), ('speak', 'VB'), ('the', 'DT'), ('jadgali', 'NN'), ('languages', 'VBZ'), (',', ','), ('cd44', 'JJ'), ('wt', 'NN'), ('allele', 'IN'), ('the', 'DT'), ('makran', 'NN'), ('geographic', 'JJ'), ('locations', 'NNS'), ('of', 'IN'), ('iran', 'NN'), ('and', 'CC'), ('pakistan', 'NN'), ('.', '.')]","[16, 19, 13, 27, 27, 25, 19, 19, 12, 27, 15, 31, 16, 19, 15, 9, 13, 19, 40, 16, 19, 13, 29, 40, 19, 33, 19, 24]"
2,"['wikipedia', 'is', 'empty', '(qualifier)', 'contents', 'that', 'anyone', 'can', 'edit', 'and', 'distribution', '.']",[1156   14 4912    1 5840   24 4449   63 3697   10 1739    8],"['wikipedia', 'is', 'empty', '(qualifier)', 'contents', 'that', 'anyone', 'can', 'edit', 'and', 'distribution', '.']",[1156   14 4912    1 5840   24 4449   63 3697   10 1739    8],[],[],"[('wikipedia', 'NN'), ('is', 'VBZ'), ('empty', 'JJ'), ('(qualifier)', 'JJ'), ('contents', 'NNS'), ('that', 'IN'), ('anyone', 'NN'), ('can', 'MD'), ('edit', 'VB'), ('and', 'CC'), ('distribution', 'NN'), ('.', '.')]","[19, 15, 13, 13, 29, 40, 19, 42, 31, 33, 19, 24]"
3,"['the', 'printing', 'collection', '(action)', 'are', 'further', 'supportive', 'assistance', 'by', 'extensive', 'microform', 'holdings', '.']","[    6  4223  1099     1    32   516 16219  4046    21  1711     1  7207
     8]","['the', 'printing', 'collection', '(action)', 'are', 'further', 'supportive', 'assistance', 'by', 'extensive', 'microform', 'holdings', '.']","[    6  4223  1099     1    32   516 16219  4046    21  1711     1  7207
     8]",[],[],"[('the', 'DT'), ('printing', 'NN'), ('collection', 'NN'), ('(action)', 'NN'), ('are', 'VBP'), ('further', 'JJ'), ('supportive', 'JJ'), ('assistance', 'NN'), ('by', 'IN'), ('extensive', 'JJ'), ('microform', 'NN'), ('holdings', 'NNS'), ('.', '.')]","[16, 19, 19, 19, 11, 13, 13, 19, 40, 13, 19, 29, 24]"
4,"['type', 'of', 'restoration', 'independent', 'of', 'in', '1991', ',', 'the', 'ussr', 'broke', 'apart', 'and', 'armenia', 'gdc', 'radon', 'exposure', 'terminology-accepted', 'its', 'independence', '.']","[ 485    9 4602  650    9   11 1133    7    6 4783 2080 2510   10 3281
    1    1 3212    1   46 1095    8]","['in', '1991', ',', 'the', 'ussr', 'broke', 'apart', 'and', 'armenia', '.']",[  11 1133    7    6 4783 2080 2510   10 3281    8],"['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[3 3 3 3 3 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 5],"[('type', 'NN'), ('of', 'IN'), ('restoration', 'NN'), ('independent', 'JJ'), ('of', 'IN'), ('in', 'IN'), ('1991', 'CD'), (',', ','), ('the', 'DT'), ('ussr', 'JJ'), ('broke', 'VBD'), ('apart', 'RB'), ('and', 'CC'), ('armenia', 'VB'), ('gdc', 'JJ'), ('radon', 'NN'), ('exposure', 'NN'), ('terminology-accepted', 'VBD'), ('its', 'PRP$'), ('independence', 'NN'), ('.', '.')]","[19, 40, 19, 13, 40, 40, 37, 9, 16, 13, 6, 27, 33, 31, 13, 19, 19, 6, 4, 19, 24]"
5,"['an', 'electron', 'microscope', 'is', 'type', 'a', 'of', 'microscopes', 'that', 'usage', 'a', 'particle', 'beam', 'of', 'electrons', 'gdc', 'treatment', 'outcome', 'terminology', 'illuminate', 'a', 'biospecimen', 'and', 'create', 'data', 'operation', 'a', 'high-magnified', 'image', '.']","[   33  2330  9201    14   485    12     9 24779    24  2648    12  2969
  4792     9  2340     1  2031 10168  8104     1    12     1    10  1164
   926  1267    12     1  1522     8]","['an', 'electron', 'microscope', 'is', 'type', 'a', 'of', 'microscopes', 'that', 'usage', 'a', 'particle', 'beam', 'of', 'electrons', 'gdc', 'treatment', 'outcome', 'terminology', 'illuminate', 'a', 'biospecimen', '.']","[   33  2330  9201    14   485    12     9 24779    24  2648    12  2969
  4792     9  2340     1  2031 10168  8104     1    12     1     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 5],"[('an', 'DT'), ('electron', 'NN'), ('microscope', 'NN'), ('is', 'VBZ'), ('type', 'VBG'), ('a', 'DT'), ('of', 'IN'), ('microscopes', 'NNS'), ('that', 'WDT'), ('usage', 'VBP'), ('a', 'DT'), ('particle', 'NN'), ('beam', 'NN'), ('of', 'IN'), ('electrons', 'NNS'), ('gdc', 'VBP'), ('treatment', 'NN'), ('outcome', 'NN'), ('terminology', 'NN'), ('illuminate', 'VB'), ('a', 'DT'), ('biospecimen', 'NNS'), ('and', 'CC'), ('create', 'VB'), ('data', 'NNS'), ('operation', 'NN'), ('a', 'DT'), ('high-magnified', 'JJ'), ('image', 'NN'), ('.', '.')]","[16, 19, 19, 15, 5, 16, 40, 29, 12, 11, 16, 19, 19, 40, 29, 11, 19, 19, 19, 31, 16, 29, 33, 31, 29, 19, 16, 13, 19, 24]"
6,"['this', 'is', 'known', 'as', 'the', 'geocentric', 'digital', 'model', 'attachment', 'of', 'the', 'catalogue', 'of', 'somatic', 'mutations', 'in', 'cancer', '(cosmic)', '.']","[   41    14    64    18     6     1  1718   688  8759     9     6  8634
     9 17353  8621    11  1618     1     8]","['this', 'is', 'known', 'as', 'the', 'geocentric', 'digital', 'model', 'attachment', 'of', 'the', 'catalogue', 'of', 'somatic', 'mutations', 'in', 'cancer', '(cosmic)', '.']","[   41    14    64    18     6     1  1718   688  8759     9     6  8634
     9 17353  8621    11  1618     1     8]",[],[],"[('this', 'DT'), ('is', 'VBZ'), ('known', 'VBN'), ('as', 'IN'), ('the', 'DT'), ('geocentric', 'JJ'), ('digital', 'JJ'), ('model', 'NN'), ('attachment', 'NN'), ('of', 'IN'), ('the', 'DT'), ('catalogue', 'NN'), ('of', 'IN'), ('somatic', 'JJ'), ('mutations', 'NNS'), ('in', 'IN'), ('cancer', 'NN'), ('(cosmic)', 'NN'), ('.', '.')]","[16, 15, 8, 40, 16, 13, 13, 19, 19, 40, 16, 19, 40, 13, 29, 40, 19, 19, 24]"
7,"['it', 'was', 'present', 'in', 'the', '14th', 'century', 'by', 'genoese', 'colonists', ',', 'who', 'employed', 'large', 'count', 'of', 'entities', 'of', 'workmen', '-lrb-', 'calfats', '-rrb-', 'in', 'surgical', 'repair', 'ships', '.']","[  31   15  533   11    6 3765  156   21    1 5858    7   56 2466  150
 1563    9 7554    9    1    1    1    1   11 9912 6509 1817    8]","['it', 'was', 'present', 'in', 'the', '14th', 'century', 'by', 'genoese', 'colonists', '.']",[  31   15  533   11    6 3765  156   21    1 5858    8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5],"[('it', 'PRP'), ('was', 'VBD'), ('present', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('14th', 'JJ'), ('century', 'NN'), ('by', 'IN'), ('genoese', 'JJ'), ('colonists', 'NNS'), (',', ','), ('who', 'WP'), ('employed', 'VBD'), ('large', 'JJ'), ('count', 'NN'), ('of', 'IN'), ('entities', 'NNS'), ('of', 'IN'), ('workmen', 'NNS'), ('-lrb-', 'NNP'), ('calfats', 'NNS'), ('-rrb-', 'VBP'), ('in', 'IN'), ('surgical', 'JJ'), ('repair', 'NN'), ('ships', 'NNS'), ('.', '.')]","[38, 6, 13, 40, 16, 13, 19, 40, 13, 29, 9, 14, 6, 13, 19, 40, 29, 40, 29, 30, 29, 11, 40, 13, 19, 29, 24]"
8,"['much', 'of', 'the', 'enlightenment', 'occur', '(action)', 'in', 'french', 'intellectual', 'circle', 'indian', ',', 'and', 'major', 'science', 'breakthrough', 'were', 'achieved', 'by', 'french', 'scientist', 'in', 'the', '18th', 'century', '.']","[ 218    9    6 7893 1234    1   11  203 4080 2240  785    7   10  155
  509 6535   37 1892   21  203 4527   11    6 2191  156    8]","['much', 'of', 'the', 'enlightenment', 'occur', '(action)', 'in', 'french', 'catheter', 'gauge', 'political', 'circle', 'indian', '.']",[ 218    9    6 7893 1234    1   11  203    1 6025  438 2240  785    8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'catheter', 'gauge', 'political', 'DEL', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   2    2    2    2    2    2    2    2    1 6025  438    3    2    2
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    5]","[('much', 'RB'), ('of', 'IN'), ('the', 'DT'), ('enlightenment', 'NN'), ('occur', 'NN'), ('(action)', 'NN'), ('in', 'IN'), ('french', 'JJ'), ('intellectual', 'JJ'), ('circle', 'NN'), ('indian', 'JJ'), (',', ','), ('and', 'CC'), ('major', 'JJ'), ('science', 'NN'), ('breakthrough', 'NN'), ('were', 'VBD'), ('achieved', 'VBN'), ('by', 'IN'), ('french', 'JJ'), ('scientist', 'NN'), ('in', 'IN'), ('the', 'DT'), ('18th', 'JJ'), ('century', 'NN'), ('.', '.')]","[27, 40, 16, 19, 19, 19, 40, 13, 13, 19, 13, 9, 33, 13, 19, 19, 6, 8, 40, 13, 19, 40, 16, 13, 19, 24]"
9,"['every', 'rhombus', 'is', 'a', 'parallelogram', ',', 'and', 'a', 'rhombus', 'with', 'right', 'angular', 'is', 'a', 'square', 'shape', '.']","[ 452    1   14   12    1    7   10   12    1   22  525 5957   14   12
  568 1480    8]","['every', 'rhombus', 'is', 'a', 'parallelogram', '.']",[452   1  14  12   1   8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 5],"[('every', 'DT'), ('rhombus', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('parallelogram', 'NN'), (',', ','), ('and', 'CC'), ('a', 'DT'), ('rhombus', 'NN'), ('with', 'IN'), ('right', 'JJ'), ('angular', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('square', 'JJ'), ('shape', 'NN'), ('.', '.')]","[16, 19, 15, 16, 19, 9, 33, 16, 19, 40, 13, 19, 15, 16, 13, 19, 24]"
