,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
0,"['one', 'of', 'the', 'readers', 'was', 'mohammed', 'baghdadi', ',', '32', ',', 'a', 'manager', 'at', 'the', 'ministry', 'of', 'trade', '.']","[   42     9     6  4985    15 17586     1     7  2858     7    12  1687
    29     6  3048     9   959     8]","['mohammed', 'baghdadi', 'is', 'a', 'manager', 'at', 'the', 'ministry', 'of', 'trade', '.']",[17586     1    14    12  1687    29     6  3048     9   959     8],"['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'is', 'DEL', 'DEL', 'DEL', 'STOP']",[ 3  3  3  3  3  2  2 14  3  3  3  5],"[('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('readers', 'NNS'), ('was', 'VBD'), ('mohammed', 'VBN'), ('baghdadi', 'NN'), (',', ','), ('32', 'CD'), (',', ','), ('a', 'DT'), ('manager', 'NN'), ('at', 'IN'), ('the', 'DT'), ('ministry', 'NN'), ('of', 'IN'), ('trade', 'NN'), ('.', '.')]","[37, 40, 16, 29, 6, 8, 19, 9, 37, 9, 16, 19, 40, 16, 19, 40, 19, 24]"
1,"['among', 'the', 'readers', 'on', 'hand', 'was', 'mohammed', 'baghdadi', ',', '32', ',', 'a', 'manager', 'at', 'the', 'ministry', 'of', 'trade', '.']","[  310     6  4985    19   846    15 17586     1     7  2858     7    12
  1687    29     6  3048     9   959     8]","['mohammed', 'baghdadi', ',', '32', ',', 'is', 'a', 'manager', 'at', 'the', 'ministry', 'of', 'trade', '.']","[17586     1     7  2858     7    14    12  1687    29     6  3048     9
   959     8]","['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'is', 'STOP']",[ 3  3  3  3  3  3  2  2  2  2  2 14  5],"[('among', 'IN'), ('the', 'DT'), ('readers', 'NNS'), ('on', 'IN'), ('hand', 'NN'), ('was', 'VBD'), ('mohammed', 'VBN'), ('baghdadi', 'NN'), (',', ','), ('32', 'CD'), (',', ','), ('a', 'DT'), ('manager', 'NN'), ('at', 'IN'), ('the', 'DT'), ('ministry', 'NN'), ('of', 'IN'), ('trade', 'NN'), ('.', '.')]","[40, 16, 29, 40, 19, 6, 8, 19, 9, 37, 9, 16, 19, 40, 16, 19, 40, 19, 24]"
2,"['one', 'of', 'the', 'readers', 'was', 'mohammed', 'baghdadi', ',', '32', ',', 'who', 'works', 'for', 'the', 'department', 'of', 'trade', '.']","[   42     9     6  4985    15 17586     1     7  2858     7    56   367
    20     6   977     9   959     8]","['one', 'of', 'the', 'readers', 'was', 'mohammed', 'baghdadi', ',', '32', '.']",[   42     9     6  4985    15 17586     1     7  2858     8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 5],"[('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('readers', 'NNS'), ('was', 'VBD'), ('mohammed', 'VBN'), ('baghdadi', 'NN'), (',', ','), ('32', 'CD'), (',', ','), ('who', 'WP'), ('works', 'VBZ'), ('for', 'IN'), ('the', 'DT'), ('department', 'NN'), ('of', 'IN'), ('trade', 'NN'), ('.', '.')]","[37, 40, 16, 29, 6, 8, 19, 9, 37, 9, 14, 15, 40, 16, 19, 40, 19, 24]"
3,"['they', 'are', 'tired', 'and', 'it', 'shows', 'in', 'their', 'voices', ',', 'but', 'they', ""'re"", 'still', 'on', 'the', 'freedom', 'highway', '.']","[   54    32 13272    10    31   853    11    49  4311     7    51    54
  4685   250    19     6  1998  2293     8]","['they', 'are', 'tired', 'and', 'it', 'shows', 'in', 'their', 'voices', '.']",[   54    32 13272    10    31   853    11    49  4311     8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 5],"[('they', 'PRP'), ('are', 'VBP'), ('tired', 'JJ'), ('and', 'CC'), ('it', 'PRP'), ('shows', 'VBZ'), ('in', 'IN'), ('their', 'PRP$'), ('voices', 'NNS'), (',', ','), ('but', 'CC'), ('they', 'PRP'), (""'re"", 'VBP'), ('still', 'RB'), ('on', 'IN'), ('the', 'DT'), ('freedom', 'NN'), ('highway', 'NN'), ('.', '.')]","[38, 11, 13, 33, 38, 15, 40, 4, 29, 9, 33, 38, 11, 27, 40, 16, 19, 19, 24]"
4,"['piechocki', 'is', 'responsible', 'for', 'integrating', ',', 'testing', 'and', 'executing', 'all', 'of', 'the', 'engineering', 'requirements', 'for', 'ford', ""'s"", 'full-size', 'suvs', ',', 'ford', 'expedition', 'and', 'lincoln', 'navigator', '.']","[    1    14  1339    20 19429     7  3316    10 14633    66     9     6
  1297  4695    20  1815    23 20772 25121     7  1815  2737    10  2043
 16013     8]","['piechocki', 'is', 'responsible', 'for', 'combining', ',', 'testing', 'and', 'executing', 'all', 'of', 'the', 'new', 'rules', '.']","[    1    14  1339    20  5834     7  3316    10 14633    66     9     6
    57  1331     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'combining', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'new', 'rules', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   2    2    2    2 5834    3    2    2    2    2    2    2    2   57
 1331    3    3    3    3    3    3    3    3    3    3    3    3    3
    5]","[('piechocki', 'NN'), ('is', 'VBZ'), ('responsible', 'JJ'), ('for', 'IN'), ('integrating', 'VBG'), (',', ','), ('testing', 'VBG'), ('and', 'CC'), ('executing', 'VBG'), ('all', 'DT'), ('of', 'IN'), ('the', 'DT'), ('engineering', 'NN'), ('requirements', 'NNS'), ('for', 'IN'), ('ford', 'NN'), (""'s"", 'POS'), ('full-size', 'JJ'), ('suvs', 'NN'), (',', ','), ('ford', 'JJ'), ('expedition', 'NN'), ('and', 'CC'), ('lincoln', 'NN'), ('navigator', 'NN'), ('.', '.')]","[19, 15, 13, 40, 5, 9, 5, 33, 5, 16, 40, 16, 19, 29, 40, 19, 23, 13, 19, 9, 13, 19, 33, 19, 19, 24]"
5,"['gary', 'goddard', ',', 'founder', 'of', 'gary', 'goddard', 'entertainment', ',', 'a', 'company', 'that', 'designs', 'theme', 'parks', ',', 'attractions', 'and', 'upscale', 'resorts', ',', 'estimated', 'that', 'about', 'half', 'his', 'work', 'in', 'the', 'last', 'few', 'years', 'has', 'been', 'in', 'asia', 'and', 'the', 'middle', 'east', '.']","[ 5687 18052     7  2069     9  5687 18052  1254     7    12   300    24
  2836  1757  2573     7  5708    10 27070  9735     7  1056    24    90
   669    28   140    11     6   232   344    78    43    59    11   868
    10     6   598   201     8]","['gary', 'goddard', 'is', 'a', 'company', 'that', 'sells', 'theme', 'parks', ',', 'hotels', 'and', 'upscale', '.']","[ 5687 18052    14    12   300    24 15255  1757  2573     7  6045    10
 27070     8]","['KEEP', 'KEEP', 'is', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'sells', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'hotels', 'DEL', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[    2     2    14     3     3     3     3     3     3     3     2     2
     2 15255     3     2     2     2  6045     3     2     2     3     3
     3     3     3     3     3     3     3     3     3     3     3     3
     3     3     3     3     3     3     3     5]","[('gary', 'JJ'), ('goddard', 'NN'), (',', ','), ('founder', 'NN'), ('of', 'IN'), ('gary', 'JJ'), ('goddard', 'NN'), ('entertainment', 'NN'), (',', ','), ('a', 'DT'), ('company', 'NN'), ('that', 'WDT'), ('designs', 'VBZ'), ('theme', 'NN'), ('parks', 'NNS'), (',', ','), ('attractions', 'NNS'), ('and', 'CC'), ('upscale', 'JJ'), ('resorts', 'NNS'), (',', ','), ('estimated', 'VBD'), ('that', 'IN'), ('about', 'IN'), ('half', 'PDT'), ('his', 'PRP$'), ('work', 'NN'), ('in', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('few', 'JJ'), ('years', 'NNS'), ('has', 'VBZ'), ('been', 'VBN'), ('in', 'IN'), ('asia', 'NN'), ('and', 'CC'), ('the', 'DT'), ('middle', 'JJ'), ('east', 'NN'), ('.', '.')]","[13, 19, 9, 19, 40, 13, 19, 19, 9, 16, 19, 12, 15, 19, 29, 9, 29, 33, 13, 29, 9, 6, 40, 40, 34, 4, 19, 40, 16, 13, 13, 29, 15, 8, 40, 19, 33, 16, 13, 19, 24]"
6,"['gary', 'goddard', 'is', 'the', 'founder', 'of', 'gary', 'goddard', 'entertainment', '.']",[ 5687 18052    14     6  2069     9  5687 18052  1254     8],"['gary', 'goddard', 'is', 'the', 'founder', 'of', 'gary', 'entertainment', '.']",[ 5687 18052    14     6  2069     9  5687  1254     8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']",[2 2 2 2 2 2 2 3 5],"[('gary', 'JJ'), ('goddard', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('founder', 'NN'), ('of', 'IN'), ('gary', 'JJ'), ('goddard', 'NN'), ('entertainment', 'NN'), ('.', '.')]","[13, 19, 15, 16, 19, 40, 13, 19, 19, 24]"
7,"['gary', 'goddard', 'is', 'the', 'founder', 'of', 'gary', 'goddard', 'entertainment', ',', 'which', 'designs', 'theme', 'parks', ',', 'attractions', 'and', 'upscale', 'resorts', '.']","[ 5687 18052    14     6  2069     9  5687 18052  1254     7    35  2836
  1757  2573     7  5708    10 27070  9735     8]","['gary', 'goddard', 'is', 'the', 'founder', 'of', 'gary', 'goddard', 'entertainment', '.']",[ 5687 18052    14     6  2069     9  5687 18052  1254     8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 5],"[('gary', 'JJ'), ('goddard', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('founder', 'NN'), ('of', 'IN'), ('gary', 'JJ'), ('goddard', 'NN'), ('entertainment', 'NN'), (',', ','), ('which', 'WDT'), ('designs', 'VBZ'), ('theme', 'NN'), ('parks', 'NNS'), (',', ','), ('attractions', 'NNS'), ('and', 'CC'), ('upscale', 'JJ'), ('resorts', 'NNS'), ('.', '.')]","[13, 19, 15, 16, 19, 40, 13, 19, 19, 9, 12, 15, 19, 29, 9, 29, 33, 13, 29, 24]"
8,"['their', 'fatigue', 'changes', 'their', 'voices', ',', 'but', 'they', ""'re"", 'still', 'on', 'the', 'freedom', 'highway', '.']","[   49 18855   869    49  4311     7    51    54  4685   250    19     6
  1998  2293     8]","['their', 'problems', 'make', 'their', 'problems', 'and', 'fatigue', 'changes', 'their', 'voices', '.']",[   49  1338   323    49  1338    10 18855   869    49  4311     8],"['their', 'problems', 'make', 'KEEP', 'problems', 'and', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[  49 1338  323    2 1338   10    2    2    2    2    3    3    3    3
    3    3    3    3    3    5]","[('their', 'PRP$'), ('fatigue', 'NN'), ('changes', 'NNS'), ('their', 'PRP$'), ('voices', 'NNS'), (',', ','), ('but', 'CC'), ('they', 'PRP'), (""'re"", 'VBP'), ('still', 'RB'), ('on', 'IN'), ('the', 'DT'), ('freedom', 'NN'), ('highway', 'NN'), ('.', '.')]","[4, 19, 29, 4, 29, 9, 33, 38, 11, 27, 40, 16, 19, 19, 24]"
9,"['weariness', 'frays', 'their', 'voices', ',', 'but', 'they', ""'re"", 'still', 'on', 'the', 'freedom', 'highway', '.']",[   1    1   49 4311    7   51   54 4685  250   19    6 1998 2293    8],"['but', 'they', ""'re"", 'still', 'on', 'the', 'freedom', 'highway', '.']",[  51   54 4685  250   19    6 1998 2293    8],"['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[3 3 3 3 3 5],"[('weariness', 'NN'), ('frays', 'NNS'), ('their', 'PRP$'), ('voices', 'NNS'), (',', ','), ('but', 'CC'), ('they', 'PRP'), (""'re"", 'VBP'), ('still', 'RB'), ('on', 'IN'), ('the', 'DT'), ('freedom', 'NN'), ('highway', 'NN'), ('.', '.')]","[19, 29, 4, 29, 9, 33, 38, 11, 27, 40, 16, 19, 19, 24]"
