,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
0,"['adjacent', 'counties', 'are', 'marin', '-lrb-', 'to', 'the', 'south', '-rrb-', ',', 'mendocino', '-lrb-', 'to', 'the', 'north', '-rrb-', ',', 'lake', '-lrb-', 'northeast', '-rrb-', ',', 'napa', '-lrb-', 'to', 'the', 'east', '-rrb-', ',', 'and', 'solano', 'and', 'contra', 'costa', '-lrb-', 'to', 'the', 'southeast', '-rrb-', '.']","[ 3600  2268    32 17016     1    13     6   111     1     7 29308     1
    13     6   121     1     7   717     1  1919     1     7     1     1
    13     6   201     1     7    10     1    10 27924  3906     1    13
     6  1506     1     8]","['to', 'the', 'south', 'of', 'sonoma', 'county', 'is', 'marin', 'county', ',', 'to', 'the', 'north', 'is', 'mendocino', 'county', ',', 'to', 'the', 'east', 'is', 'napa', 'county', ',', 'and', 'to', 'the', 'northeast', 'is', 'lake', 'county', '.']","[   13     6   111     9 29354   223    14 17016   223     7    13     6
   121    14 29308   223     7    13     6   201    14     1   223     7
    10    13     6  1919    14   717   223     8]","['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'of', 'sonoma', 'county', 'is', 'marin', 'county', 'DEL', 'KEEP', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'is', 'mendocino', 'county', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'is', 'napa', 'county', 'DEL', 'KEEP', 'DEL', 'DEL', 'KEEP', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'northeast', 'is', 'lake', 'county', 'DEL', 'DEL', 'STOP']","[    3     3     3     3     3     2     2     2     9 29354   223    14
 17016   223     3     2     3     3     2     2     2    14 29308   223
     3     3     3     3     3     3     2     3     3     2     2     2
    14     1   223     3     2     3     3     2     3     3     3     2
     2  1919    14   717   223     3     3     5]","[('adjacent', 'JJ'), ('counties', 'NNS'), ('are', 'VBP'), ('marin', 'JJ'), ('-lrb-', 'NNP'), ('to', 'TO'), ('the', 'DT'), ('south', 'JJ'), ('-rrb-', 'NN'), (',', ','), ('mendocino', 'NN'), ('-lrb-', 'NN'), ('to', 'TO'), ('the', 'DT'), ('north', 'JJ'), ('-rrb-', 'NN'), (',', ','), ('lake', 'VBP'), ('-lrb-', 'JJ'), ('northeast', 'NN'), ('-rrb-', 'NN'), (',', ','), ('napa', 'RB'), ('-lrb-', 'VBZ'), ('to', 'TO'), ('the', 'DT'), ('east', 'JJ'), ('-rrb-', 'NN'), (',', ','), ('and', 'CC'), ('solano', 'NN'), ('and', 'CC'), ('contra', 'JJ'), ('costa', 'NN'), ('-lrb-', 'NN'), ('to', 'TO'), ('the', 'DT'), ('southeast', 'NN'), ('-rrb-', 'NN'), ('.', '.')]","[13, 29, 11, 13, 30, 25, 16, 13, 19, 9, 19, 19, 25, 16, 13, 19, 9, 11, 13, 19, 19, 9, 27, 15, 25, 16, 13, 19, 9, 33, 19, 33, 13, 19, 19, 25, 16, 19, 19, 24]"
1,"['a', 'georgian', 'inscription', 'around', 'the', 'drum', 'attests', 'his', 'name', '.']",[   12  7723 10074   169     6  4540     1    28   106     8],"['georgian', 'writings', 'around', 'the', 'drum', 'attests', 'his', 'name', '.']",[7723 3723  169    6 4540    1   28  106    8],"['DEL', 'KEEP', 'writings', 'DEL', 'STOP']",[   3    2 3723    3    5],"[('a', 'DT'), ('georgian', 'JJ'), ('inscription', 'NN'), ('around', 'IN'), ('the', 'DT'), ('drum', 'NN'), ('attests', 'VBZ'), ('his', 'PRP$'), ('name', 'NN'), ('.', '.')]","[16, 13, 19, 40, 16, 19, 15, 4, 19, 24]"
2,"['they', 'would', 'later', 'return', 'to', 'the', 'revived', 'series', 'in', 'the', '2008', 'christmas', 'special', '""', 'the', 'next', 'doctor', '""', ',', 'introducing', 'two', 'new', 'variants', 'of', 'the', 'race', ';', 'the', 'cyber-shades', 'and', 'the', 'cyber-king', '.']","[  54   97   89  689   13    6 6613  120   11    6  312 1965  552    1
    6  371 1135    1    7 6484   55   57 5200    9    6  572   45    6
    1   10    6    1    8]","['they', 'would', 'later', 'return', 'to', 'the', 'new', 'series', 'in', 'the', '2008', 'christmas', 'special', '""', 'the', 'next', 'doctor', '""', ',', 'introducing', 'two', 'new', 'types', 'of', 'cyberman', ';', 'the', 'cyber-shades', 'and', 'the', 'cyber-king', '.']","[  54   97   89  689   13    6   57  120   11    6  312 1965  552    1
    6  371 1135    1    7 6484   55   57  697    9    1   45    6    1
   10    6    1    8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'new', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'types', 'DEL', 'KEEP', 'cyberman', 'DEL', 'DEL', 'STOP']","[  2   2   2   2   2   2  57   3   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   2 697   3   2   1   3   3   5]","[('they', 'PRP'), ('would', 'MD'), ('later', 'RB'), ('return', 'VB'), ('to', 'TO'), ('the', 'DT'), ('revived', 'VBN'), ('series', 'NN'), ('in', 'IN'), ('the', 'DT'), ('2008', 'CD'), ('christmas', 'NN'), ('special', 'JJ'), ('""', 'VBZ'), ('the', 'DT'), ('next', 'JJ'), ('doctor', 'NN'), ('""', 'NN'), (',', ','), ('introducing', 'VBG'), ('two', 'CD'), ('new', 'JJ'), ('variants', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('race', 'NN'), (';', ':'), ('the', 'DT'), ('cyber-shades', 'NNS'), ('and', 'CC'), ('the', 'DT'), ('cyber-king', 'NN'), ('.', '.')]","[38, 42, 27, 31, 25, 16, 8, 19, 40, 16, 37, 19, 13, 15, 16, 13, 19, 19, 9, 5, 37, 13, 29, 40, 16, 19, 28, 16, 29, 33, 16, 19, 24]"
3,"['jameson', ""'s"", 'autobiography', ',', 'how', 'to', 'make', 'love', 'like', 'a', 'porn', 'star', ':', 'a', 'cautionary', 'tale', 'was', 'published', 'august', '17', ',', '2004', '.']","[    1    23  6570     7   599    13   323   547   195    12 19617   506
    38    12     1  3836    15   356   186   536     7   510     8]","['in', '2004', ',', 'she', 'wrote', 'an', 'autobiography', ',', 'how', 'to', 'make', 'love', 'like', 'a', 'porn', 'star', ':', 'a', 'cautionary', 'tale', '.']","[   11   510     7    62   428    33  6570     7   599    13   323   547
   195    12 19617   506    38    12     1  3836     8]","['in', '2004', ',', 'she', 'wrote', 'an', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[ 11 510   7  62 428  33   3   3   2   2   2   2   2   2   2   2   2   2
   2   2   2   2   3   3   3   3   3   3   5]","[('jameson', 'NN'), (""'s"", 'POS'), ('autobiography', 'NN'), (',', ','), ('how', 'WRB'), ('to', 'TO'), ('make', 'VB'), ('love', 'NN'), ('like', 'IN'), ('a', 'DT'), ('porn', 'JJ'), ('star', 'NN'), (':', ':'), ('a', 'DT'), ('cautionary', 'JJ'), ('tale', 'NN'), ('was', 'VBD'), ('published', 'VBN'), ('august', 'RB'), ('17', 'CD'), (',', ','), ('2004', 'CD'), ('.', '.')]","[19, 23, 19, 9, 32, 25, 31, 19, 40, 16, 13, 19, 28, 16, 13, 19, 6, 8, 27, 37, 9, 37, 24]"
4,"['it', 'is', 'particularly', 'famous', 'for', 'the', 'cultivation', 'of', 'kiwifruit', '.']",[  31   14  701  586   20    6 8285    9    1    8],"['it', 'is', 'famous', 'for', 'kiwifruit', ',', 'which', 'is', 'grown', 'there', '.']",[  31   14  586   20    1    7   35   14 2767   77    8],"['KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'KEEP', ',', 'which', 'is', 'grown', 'there', 'STOP']","[   2    2    3    2    2    3    3    3    2    7   35   14 2767   77
    5]","[('it', 'PRP'), ('is', 'VBZ'), ('particularly', 'RB'), ('famous', 'JJ'), ('for', 'IN'), ('the', 'DT'), ('cultivation', 'NN'), ('of', 'IN'), ('kiwifruit', 'NN'), ('.', '.')]","[38, 15, 27, 13, 40, 16, 19, 40, 19, 24]"
5,"['singles', 'competition', '-lrb-', '2002', '–', '2003', '-rrb-', 'after', 'years', 'in', 'the', 'tag', 'team', 'division', ',', 'hardy', 'took', 'on', 'the', 'undertaker', 'in', 'a', 'ladder', 'match', 'for', 'the', 'undisputed', 'championship', '.']","[1034 1023    1  682    1  569    1   50   78   11    6 2569  164  373
    7 4622  264   19    6 5919   11   12 6087  406   20    6 9872  386
    8]","['singles', 'competition', '-lrb-', '2002-2003', '-rrb-', 'after', 'years', 'in', 'the', 'tag', 'team', 'division', ',', 'jeff', 'fought', 'the', 'undertaker', 'in', 'a', 'ladder', 'match', 'for', 'the', 'championship', '.']","[ 1034  1023     1 29660     1    50    78    11     6  2569   164   373
     7  5417  2244     6  5919    11    12  6087   406    20     6   386
     8]","['KEEP', 'KEEP', 'KEEP', '2002-2003', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'jeff', 'fought', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']","[    2     2     2 29660     3     3     3     2     2     2     2     2
     2     2     2     2  5417  2244     3     3     3     2     2     2
     2     2     2     2     2     3     5]","[('singles', 'NNS'), ('competition', 'NN'), ('-lrb-', 'IN'), ('2002', 'CD'), ('–', 'NN'), ('2003', 'CD'), ('-rrb-', 'NN'), ('after', 'IN'), ('years', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('tag', 'NN'), ('team', 'NN'), ('division', 'NN'), (',', ','), ('hardy', 'JJ'), ('took', 'VBD'), ('on', 'IN'), ('the', 'DT'), ('undertaker', 'NN'), ('in', 'IN'), ('a', 'DT'), ('ladder', 'NN'), ('match', 'NN'), ('for', 'IN'), ('the', 'DT'), ('undisputed', 'JJ'), ('championship', 'NN'), ('.', '.')]","[29, 19, 40, 37, 19, 37, 19, 40, 29, 40, 16, 19, 19, 19, 9, 13, 6, 40, 16, 19, 40, 16, 19, 19, 40, 16, 13, 19, 24]"
6,"['many', 'of', 'the', 'churches', 'work', 'together', 'for', 'town-wide', 'projects', 'under', 'the', 'banner', 'of', '""', 'churches', 'together', 'in', 'stevenage', '""', '.']","[   75     9     6  2066   140   437    20     1  2301   125     6  7512
     9     1  2066   437    11 26530     1     8]","['many', 'of', 'the', 'churches', 'work', 'together', 'for', 'town-wide', 'projects', 'under', 'the', 'name', 'of', '""', 'churches', 'together', 'in', 'stevenage', '""', '.']","[   75     9     6  2066   140   437    20     1  2301   125     6   106
     9     1  2066   437    11 26530     1     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'name', 'DEL', 'STOP']",[  2   2   2   2   2   2   2   2   2   2   2 106   3   5],"[('many', 'JJ'), ('of', 'IN'), ('the', 'DT'), ('churches', 'NNS'), ('work', 'VBP'), ('together', 'RB'), ('for', 'IN'), ('town-wide', 'JJ'), ('projects', 'NNS'), ('under', 'IN'), ('the', 'DT'), ('banner', 'NN'), ('of', 'IN'), ('""', 'JJ'), ('churches', 'NNS'), ('together', 'RB'), ('in', 'IN'), ('stevenage', 'NN'), ('""', 'NN'), ('.', '.')]","[13, 40, 16, 29, 11, 27, 40, 13, 29, 40, 16, 19, 40, 13, 29, 27, 40, 19, 19, 24]"
7,"['word', 'processing', 'templates', 'enable', 'the', 'ability', 'to', 'bypass', 'the', 'initial', 'setup', 'and', 'configuration', 'time', 'necessary', 'to', 'create', 'standardized', 'documents', 'such', 'as', 'a', 'resume', '.']","[  434  3368 12917  6807     6  1250    13 10229     6  1507 18069    10
  5458    71  2128    13  1164  8656  3573    69    18    12 14295     8]","['word', 'processing', 'templates', 'give', 'the', 'ability', 'to', 'bypass', 'the', 'original', 'setup', 'and', 'configuration', 'time', 'necessary', 'to', 'create', 'standardized', 'documents', 'such', 'as', 'a', 'resume', '.']","[  434  3368 12917   866     6  1250    13 10229     6   309 18069    10
  5458    71  2128    13  1164  8656  3573    69    18    12 14295     8]","['KEEP', 'KEEP', 'KEEP', 'give', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'original', 'DEL', 'STOP']",[  2   2   2 866   3   2   2   2   2   2 309   3   5],"[('word', 'NN'), ('processing', 'NN'), ('templates', 'VBZ'), ('enable', 'VBP'), ('the', 'DT'), ('ability', 'NN'), ('to', 'TO'), ('bypass', 'VB'), ('the', 'DT'), ('initial', 'JJ'), ('setup', 'NN'), ('and', 'CC'), ('configuration', 'NN'), ('time', 'NN'), ('necessary', 'JJ'), ('to', 'TO'), ('create', 'VB'), ('standardized', 'JJ'), ('documents', 'NNS'), ('such', 'JJ'), ('as', 'IN'), ('a', 'DT'), ('resume', 'NN'), ('.', '.')]","[19, 19, 15, 11, 16, 19, 25, 31, 16, 13, 19, 33, 19, 19, 13, 25, 31, 13, 29, 13, 40, 16, 19, 24]"
8,"['rollins', 'retired', 'in', '1962', 'and', 'opted', 'to', 'become', 'a', 'coach', '.']",[    1  1570    11  2102    10 12292    13   279    12  2049     8],"['rollins', 'retired', 'in', '1962', 'and', 'decided', 'to', 'become', 'a', 'coach', '.']",[   1 1570   11 2102   10  966   13  279   12 2049    8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'decided', 'DEL', 'STOP']",[  2   2   2   2   2 966   3   5],"[('rollins', 'NNS'), ('retired', 'VBN'), ('in', 'IN'), ('1962', 'CD'), ('and', 'CC'), ('opted', 'VBD'), ('to', 'TO'), ('become', 'VB'), ('a', 'DT'), ('coach', 'NN'), ('.', '.')]","[29, 8, 40, 37, 33, 6, 25, 31, 16, 19, 24]"
9,"['history', 'landsberg', 'prison', ',', 'which', 'is', 'in', 'the', 'town', ""'s"", 'western', 'outskirts', ',', 'was', 'completed', 'in', '1910', '.']","[ 241    1 1834    7   35   14   11    6  255   23  293 9880    7   15
  952   11 3101    8]","['history', 'the', 'landsberg', 'prisn', 'was', 'built', 'around', '1910', 'on', 'the', 'town', ""'s"", 'western', 'edge', '.']","[ 241    6    1    1   15  364  169 3101   19    6  255   23  293 1743
    8]","['KEEP', 'the', 'KEEP', 'prisn', 'was', 'built', 'around', '1910', 'on', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'edge', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   2    6    2    1   15  364  169 3101   19    3    3    3    3    3
    2    2    2    2 1743    3    3    3    3    3    3    5]","[('history', 'NN'), ('landsberg', 'NN'), ('prison', 'NN'), (',', ','), ('which', 'WDT'), ('is', 'VBZ'), ('in', 'IN'), ('the', 'DT'), ('town', 'NN'), (""'s"", 'POS'), ('western', 'JJ'), ('outskirts', 'NNS'), (',', ','), ('was', 'VBD'), ('completed', 'VBN'), ('in', 'IN'), ('1910', 'CD'), ('.', '.')]","[19, 19, 19, 9, 12, 15, 40, 16, 19, 23, 13, 29, 9, 6, 8, 40, 37, 24]"
