,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
0,"['genetic', 'engineering', 'has', 'expanded', 'the', 'genes', 'available', 'to', 'breeders', 'to', 'utilize', 'in', 'creating', 'desired', 'germlines', 'for', 'new', 'crops', '.']","[ 1692  1297    43  2025     6  3371   737    13 17497    13 11987    11
  2264  4779     1    20    57  4379     8]","['genetic', 'engineering', 'has', 'expanded', 'the', 'genes', 'available', 'to', 'breeders', 'to', 'make', 'creating', 'germlines', 'for', 'new', 'crops', '.']","[ 1692  1297    43  2025     6  3371   737    13 17497    13   323  2264
     1    20    57  4379     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'make', 'DEL', 'DEL', 'KEEP', 'DEL', 'STOP']",[  2   2   2   2   2   2   2   2   2   2 323   3   3   2   3   5],"[('genetic', 'JJ'), ('engineering', 'NN'), ('has', 'VBZ'), ('expanded', 'VBN'), ('the', 'DT'), ('genes', 'NNS'), ('available', 'JJ'), ('to', 'TO'), ('breeders', 'NNS'), ('to', 'TO'), ('utilize', 'VB'), ('in', 'IN'), ('creating', 'VBG'), ('desired', 'JJ'), ('germlines', 'NNS'), ('for', 'IN'), ('new', 'JJ'), ('crops', 'NNS'), ('.', '.')]","[13, 19, 15, 8, 16, 29, 13, 25, 29, 25, 31, 40, 5, 13, 29, 40, 13, 29, 24]"
1,"['the', 'name', 'jadgal', 'applies', 'specifically', 'to', 'groups', 'that', 'still', 'speak', 'the', 'jadgali', 'language', ',', 'in', 'the', 'makran', 'region', 'of', 'iran', 'and', 'pakistan', '.']","[   6  106    1 5215 1833   13  524   24  250 2812    6    1  283    7
   11    6    1  315    9 2379   10 1073    8]","['the', 'name', 'jadgal', 'applies', 'specifically', 'to', 'groups', 'that', 'still', 'speak', 'the', 'jadgali', 'language', '.']",[   6  106    1 5215 1833   13  524   24  250 2812    6    1  283    8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 5],"[('the', 'DT'), ('name', 'NN'), ('jadgal', 'JJ'), ('applies', 'NNS'), ('specifically', 'RB'), ('to', 'TO'), ('groups', 'NNS'), ('that', 'WDT'), ('still', 'RB'), ('speak', 'VBP'), ('the', 'DT'), ('jadgali', 'NN'), ('language', 'NN'), (',', ','), ('in', 'IN'), ('the', 'DT'), ('makran', 'JJ'), ('region', 'NN'), ('of', 'IN'), ('iran', 'NN'), ('and', 'CC'), ('pakistan', 'NN'), ('.', '.')]","[16, 19, 13, 29, 27, 25, 29, 12, 27, 11, 16, 19, 19, 9, 40, 16, 13, 19, 40, 19, 33, 19, 24]"
2,"['wikipedia', 'is', 'free', 'content', 'that', 'anyone', 'can', 'edit', 'and', 'distribute', '.']",[1156   14  470 1471   24 4449   63 3697   10 7236    8],"['wikipedia', 'is', 'free', 'content', 'that', 'anyone', 'can', 'edit', 'and', 'distribute', '.']",[1156   14  470 1471   24 4449   63 3697   10 7236    8],[],[],"[('wikipedia', 'NN'), ('is', 'VBZ'), ('free', 'JJ'), ('content', 'NN'), ('that', 'IN'), ('anyone', 'NN'), ('can', 'MD'), ('edit', 'VB'), ('and', 'CC'), ('distribute', 'VB'), ('.', '.')]","[19, 15, 13, 19, 40, 19, 42, 31, 33, 31, 24]"
3,"['the', 'print', 'collections', 'are', 'further', 'supported', 'by', 'extensive', 'microform', 'holdings', '.']",[   6 4692 3349   32  516 1313   21 1711    1 7207    8],"['the', 'print', 'collections', 'are', 'further', 'supported', 'by', 'extensive', 'microform', 'holdings', '.']",[   6 4692 3349   32  516 1313   21 1711    1 7207    8],[],[],"[('the', 'DT'), ('print', 'NN'), ('collections', 'NNS'), ('are', 'VBP'), ('further', 'RB'), ('supported', 'VBN'), ('by', 'IN'), ('extensive', 'JJ'), ('microform', 'NN'), ('holdings', 'NNS'), ('.', '.')]","[16, 19, 29, 11, 27, 8, 40, 13, 19, 29, 24]"
4,"['restoration', 'of', 'independence', 'in', '1991', ',', 'the', 'soviet', 'union', 'broke', 'apart', 'and', 'armenia', 're-established', 'its', 'independence', '.']","[ 4602     9  1095    11  1133     7     6   562   379  2080  2510    10
  3281 18550    46  1095     8]","['in', '1991', ',', 'the', 'soviet', 'union', 'broke', 'apart', 'and', 'armenia', '.']",[  11 1133    7    6  562  379 2080 2510   10 3281    8],"['DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'STOP']",[3 3 3 2 2 2 2 2 2 2 2 2 2 3 3 3 5],"[('restoration', 'NN'), ('of', 'IN'), ('independence', 'NN'), ('in', 'IN'), ('1991', 'CD'), (',', ','), ('the', 'DT'), ('soviet', 'JJ'), ('union', 'NN'), ('broke', 'VBD'), ('apart', 'RB'), ('and', 'CC'), ('armenia', 'VB'), ('re-established', 'JJ'), ('its', 'PRP$'), ('independence', 'NN'), ('.', '.')]","[19, 40, 19, 40, 37, 9, 16, 13, 19, 6, 27, 33, 31, 13, 4, 19, 24]"
5,"['an', 'electron', 'microscope', 'is', 'a', 'type', 'of', 'microscope', 'that', 'uses', 'a', 'particle', 'beam', 'of', 'electrons', 'to', 'illuminate', 'a', 'specimen', 'and', 'create', 'a', 'highly-magnified', 'image', '.']","[  33 2330 9201   14   12  485    9 9201   24  741   12 2969 4792    9
 2340   13    1   12 5140   10 1164   12    1 1522    8]","['an', 'electron', 'microscope', 'is', 'a', 'type', 'of', 'microscope', 'that', 'uses', 'a', 'particle', 'beam', 'of', 'electrons', 'to', 'illuminate', 'a', 'specimen', '.']","[  33 2330 9201   14   12  485    9 9201   24  741   12 2969 4792    9
 2340   13    1   12 5140    8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5],"[('an', 'DT'), ('electron', 'NN'), ('microscope', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('type', 'NN'), ('of', 'IN'), ('microscope', 'NN'), ('that', 'WDT'), ('uses', 'VBZ'), ('a', 'DT'), ('particle', 'NN'), ('beam', 'NN'), ('of', 'IN'), ('electrons', 'NNS'), ('to', 'TO'), ('illuminate', 'VB'), ('a', 'DT'), ('specimen', 'NNS'), ('and', 'CC'), ('create', 'VB'), ('a', 'DT'), ('highly-magnified', 'JJ'), ('image', 'NN'), ('.', '.')]","[16, 19, 19, 15, 16, 19, 40, 19, 12, 15, 16, 19, 19, 40, 29, 25, 31, 16, 29, 33, 31, 16, 13, 19, 24]"
6,"['this', 'is', 'known', 'as', 'the', 'geocentric', 'model', 'of', 'the', 'universe', '.']",[  41   14   64   18    6    1  688    9    6 1716    8],"['this', 'is', 'known', 'as', 'the', 'geocentric', 'model', 'of', 'the', 'universe', '.']",[  41   14   64   18    6    1  688    9    6 1716    8],[],[],"[('this', 'DT'), ('is', 'VBZ'), ('known', 'VBN'), ('as', 'IN'), ('the', 'DT'), ('geocentric', 'JJ'), ('model', 'NN'), ('of', 'IN'), ('the', 'DT'), ('universe', 'NN'), ('.', '.')]","[16, 15, 8, 40, 16, 13, 19, 40, 16, 19, 24]"
7,"['it', 'was', 'founded', 'in', 'the', '14th', 'century', 'by', 'genoese', 'colonists', ',', 'who', 'employed', 'large', 'numbers', 'of', 'workmen', '-lrb-', 'calfats', '-rrb-', 'in', 'repairing', 'ships', '.']","[   31    15   444    11     6  3765   156    21     1  5858     7    56
  2466   150   699     9     1     1     1     1    11 26091  1817     8]","['it', 'was', 'founded', 'in', 'the', '14th', 'century', 'by', 'genoese', 'colonists', '.']",[  31   15  444   11    6 3765  156   21    1 5858    8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 5],"[('it', 'PRP'), ('was', 'VBD'), ('founded', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('14th', 'JJ'), ('century', 'NN'), ('by', 'IN'), ('genoese', 'JJ'), ('colonists', 'NNS'), (',', ','), ('who', 'WP'), ('employed', 'VBD'), ('large', 'JJ'), ('numbers', 'NNS'), ('of', 'IN'), ('workmen', 'NNS'), ('-lrb-', 'NNP'), ('calfats', 'NNS'), ('-rrb-', 'VBP'), ('in', 'IN'), ('repairing', 'VBG'), ('ships', 'NNS'), ('.', '.')]","[38, 6, 8, 40, 16, 13, 19, 40, 13, 29, 9, 14, 6, 13, 29, 40, 29, 30, 29, 11, 40, 5, 29, 24]"
8,"['much', 'of', 'the', 'enlightenment', 'occurred', 'in', 'french', 'intellectual', 'circles', ',', 'and', 'major', 'scientific', 'breakthroughs', 'were', 'achieved', 'by', 'french', 'scientists', 'in', 'the', '18th', 'century', '.']","[ 218    9    6 7893 1301   11  203 4080 6437    7   10  155 1055    1
   37 1892   21  203 2237   11    6 2191  156    8]","['much', 'of', 'the', 'enlightenment', 'happened', 'in', 'french', 'political', 'circles', '.']",[ 218    9    6 7893 4650   11  203  438 6437    8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'happened', 'DEL', 'KEEP', 'KEEP', 'political', 'DEL', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   2    2    2    2 4650    3    2    2  438    3    2    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    5]","[('much', 'RB'), ('of', 'IN'), ('the', 'DT'), ('enlightenment', 'NN'), ('occurred', 'VBD'), ('in', 'IN'), ('french', 'JJ'), ('intellectual', 'JJ'), ('circles', 'NNS'), (',', ','), ('and', 'CC'), ('major', 'JJ'), ('scientific', 'JJ'), ('breakthroughs', 'NNS'), ('were', 'VBD'), ('achieved', 'VBN'), ('by', 'IN'), ('french', 'JJ'), ('scientists', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('18th', 'JJ'), ('century', 'NN'), ('.', '.')]","[27, 40, 16, 19, 6, 40, 13, 13, 29, 9, 33, 13, 13, 29, 6, 8, 40, 13, 29, 40, 16, 13, 19, 24]"
9,"['every', 'rhombus', 'is', 'a', 'parallelogram', ',', 'and', 'a', 'rhombus', 'with', 'right', 'angles', 'is', 'a', 'square', '.']","[ 452    1   14   12    1    7   10   12    1   22  525 5916   14   12
  568    8]","['every', 'rhombus', 'is', 'a', 'parallelogram', '.']",[452   1  14  12   1   8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 5],"[('every', 'DT'), ('rhombus', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('parallelogram', 'NN'), (',', ','), ('and', 'CC'), ('a', 'DT'), ('rhombus', 'NN'), ('with', 'IN'), ('right', 'JJ'), ('angles', 'NNS'), ('is', 'VBZ'), ('a', 'DT'), ('square', 'NN'), ('.', '.')]","[16, 19, 15, 16, 19, 9, 33, 16, 19, 40, 13, 29, 15, 16, 19, 24]"
